iso2_code;cluster_id;exit01;consider00;pci;ubiquity;rca01;density
AU;3.0;0;1;0.7833126064179957;10.0;1.0;0.4210537956675626
AU;4.0;0;1;1.265956554326927;18.0;1.0;0.5570863444344715
AU;7.0;0;1;1.2242628697114926;22.0;1.0;0.5033656269476039
AU;9.0;0;1;1.1350545013133064;19.0;1.0;0.4442388540922598
AU;10.0;0;1;-0.7677834872566762;19.0;1.0;0.1165496180078543
AU;11.0;0;1;-0.9053943017322462;38.0;1.0;0.1111335453818838
AU;12.0;0;1;1.1904149973858782;13.0;1.0;0.5529202921034926
AU;13.0;0;1;1.3640216338439537;14.0;1.0;0.5842468279645594
AU;14.0;0;1;1.1620684754184163;14.0;1.0;0.4116895617276078
AU;16.0;0;1;1.166622882986038;8.0;1.0;0.584086843950356
AU;17.0;0;1;0.6591238368633976;35.0;1.0;0.3333656089360991
AU;18.0;0;1;0.3751752320370706;69.0;1.0;0.2503306077595038
AU;19.0;0;1;-0.1315802239610624;49.0;1.0;0.0738257367314895
AU;20.0;0;1;1.1408665572543455;26.0;1.0;0.5001655739886588
AU;21.0;0;1;-0.114908452168559;50.0;1.0;0.1385288157634215
AU;22.0;0;1;1.1515011687997532;18.0;1.0;0.4745137647654071
AU;24.0;0;1;1.02771884270935;29.0;1.0;0.4852299430200991
AU;26.0;0;1;0.9948344107655204;26.0;1.0;0.4874887575137193
AU;27.0;0;1;0.8315979590923113;26.0;1.0;0.4979140495919858
AU;28.0;0;1;1.1896832927026175;21.0;1.0;0.5042971263896673
AU;29.0;0;1;1.1796616803860769;21.0;1.0;0.4925418501754256
AU;30.0;0;1;1.444285727446791;9.0;1.0;0.628875826336456
AU;32.0;0;1;1.3371071495816034;14.0;1.0;0.5046162243761914
AU;33.0;0;1;1.2731177358659194;17.0;1.0;0.4600132348960175
AU;34.0;0;1;1.176690018020767;19.0;1.0;0.4438425542867595
AU;35.0;0;1;1.3545552227173967;15.0;1.0;0.548955188290641
AU;36.0;0;1;1.3264338780079967;16.0;1.0;0.5803419345822767
AU;38.0;0;1;0.7834461732581935;25.0;1.0;0.3411864858630434
AU;39.0;0;1;1.18661736077012;20.0;1.0;0.4682482429405675
AU;40.0;0;1;0.60027623407388;12.0;1.0;0.2994338762635902
AU;41.0;0;1;1.1557488824238515;29.0;1.0;0.5119999742039748
AU;42.0;0;1;1.1106494705617524;23.0;1.0;0.4564808962272936
AU;43.0;0;1;1.2862797941241264;17.0;1.0;0.4810216698163706
AU;44.0;0;1;1.2600128962239177;13.0;1.0;0.5103939797082717
AU;45.0;0;1;1.1820480417872556;18.0;1.0;0.4799509930407831
AU;46.0;0;1;1.3016976092068837;13.0;1.0;0.5468704615375279
AU;47.0;0;1;1.418191118611;12.0;1.0;0.5829174212660615
AU;50.0;0;1;0.9419746809496924;25.0;1.0;0.4388173714194198
AU;51.0;0;1;1.307582550158649;12.0;1.0;0.4612538163867471
AU;52.0;0;1;1.3453357440129528;14.0;1.0;0.5630561658888114
AU;53.0;0;1;1.4293169299235329;13.0;1.0;0.6003313325571683
AU;54.0;0;1;0.722518437210377;33.0;1.0;0.3383962277323916
AU;55.0;0;1;1.397420886768537;15.0;1.0;0.5693045000884709
AU;56.0;0;1;1.3324960295291093;14.0;1.0;0.6073949472969223
AU;57.0;0;1;0.99968770947611;18.0;1.0;0.4766048255819438
AU;59.0;0;1;1.12648430291845;17.0;1.0;0.5659021853795321
AZ;1.0;0;1;-2.1965966891388464;33.0;1.0;0.120577341029921
AZ;8.0;0;1;-0.0585876741607944;80.0;1.0;0.4826989619377162
AZ;10.0;1;0;-0.7677834872566762;19.0;0.0;0.1585774893749227
AZ;18.0;0;1;0.3751752320370706;69.0;1.0;0.3101007655199389
AZ;19.0;0;1;-0.1315802239610624;49.0;1.0;0.4999984194094573
AZ;21.0;0;1;-0.114908452168559;50.0;1.0;0.467586085519642
AZ;25.0;0;1;-2.851588946771374e-05;80.0;1.0;0.4905335628227194
BA;1.0;0;1;-2.1965966891388464;33.0;1.0;0.1188583496274834
BA;2.0;0;1;0.6857744079889588;12.0;1.0;0.0237384800889753
BA;8.0;0;1;-0.0585876741607944;80.0;1.0;0.4982698961937716
BA;11.0;0;1;-0.9053943017322462;38.0;1.0;0.2428880992509977
BA;18.0;0;1;0.3751752320370706;69.0;1.0;0.3399020283484513
BA;19.0;0;1;-0.1315802239610624;49.0;1.0;0.4783876128389667
BA;21.0;0;1;-0.114908452168559;50.0;1.0;0.3860654755939271
BA;25.0;0;1;-2.851588946771374e-05;80.0;1.0;0.5060240963855421
BD;1.0;0;1;-2.1965966891388464;33.0;1.0;0.1698079649320554
BD;5.0;0;1;0.1017500727985483;33.0;1.0;0.3489901570104515
BD;8.0;0;1;-0.0585876741607944;80.0;1.0;0.5051903114186851
BD;15.0;1;0;0.2167324806246045;56.0;0.0;0.5105685346611081
BD;17.0;0;1;0.6591238368633976;35.0;1.0;0.3152084255118133
BD;18.0;0;1;0.3751752320370706;69.0;1.0;0.4099349959954552
BD;19.0;0;1;-0.1315802239610624;49.0;1.0;0.3978504454955237
BD;25.0;0;1;-2.851588946771374e-05;80.0;1.0;0.5111876075731497
BD;50.0;0;1;0.9419746809496924;25.0;1.0;0.1635997033540217
BD;54.0;1;0;0.722518437210377;33.0;0.0;0.2798998892063961
BE;1.0;0;1;-2.1965966891388464;33.0;1.0;0.2290176687937951
BE;2.0;0;1;0.6857744079889588;12.0;1.0;0.3449505503056108
