iso2_code;language;entry01;consider00;pci;ubiquity;rca01;density
PE;Ruby;0;1;-0.8041688921409909;56.0;0.0;0.3967812522849549
PE;Shell;0;1;-0.2279389609062087;76.0;0.0;0.2422700471659331
PE;TeX;0;1;1.639072434856775;28.0;0.0;0.1219777801080145
PH;Assembly;0;1;1.963644814406957;32.0;0.0;0.0899806785714316
PH;Batchfile;0;1;1.754625822469334;36.0;0.0;0.1043835956183225
PH;C;0;1;1.51083919229093;37.0;0.0;0.1103903551940286
PH;C++;0;1;1.185716911826135;36.0;0.0;0.1182856972667991
PH;CMake;0;1;1.8102499941879904;35.0;0.0;0.0983711574063701
PH;Dockerfile;0;1;0.9633754239112304;45.0;0.0;0.1365592226125132
PH;Go;0;1;1.287478056663491;26.0;0.0;0.101944818495083
PH;Java;0;1;-0.6517373307398842;71.0;0.0;0.4223112013696996
PH;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.1792488016842859
PH;Lua;0;1;1.9164067625124204;29.0;0.0;0.0815278693158146
PH;Makefile;0;1;1.5591381085575713;38.0;0.0;0.107855718949626
PH;Perl;0;1;1.8863560192802729;30.0;0.0;0.0854591628302754
PH;PowerShell;0;1;0.9861365234164;37.0;0.0;0.1510868511601742
PH;Python;0;1;-0.0515691656205541;55.0;0.0;0.1934274938882816
PH;R;0;1;1.1157321177845223;31.0;0.0;0.1353835904009827
PH;Roff;0;1;2.065574294940661;29.0;0.0;0.0810630478457258
PH;Shell;0;1;-0.2279389609062087;76.0;0.0;0.2110187819265125
PH;Smarty;0;1;1.940829555675328;30.0;0.0;0.0839431750510568
PH;Starlark;0;1;0.5548298125965115;19.0;0.0;0.2158077219421464
PH;Vim Script;0;1;1.9750874907129656;27.0;0.0;0.083695430875215
PK;Assembly;0;1;1.963644814406957;32.0;0.0;0.0812500918193828
PK;Batchfile;0;1;1.754625822469334;36.0;0.0;0.0934237289422181
PK;C;0;1;1.51083919229093;37.0;0.0;0.1019459449813255
PK;C++;1;0;1.185716911826135;36.0;1.0;0.1092712048036968
PK;Dockerfile;0;1;0.9633754239112304;45.0;0.0;0.1244791911679966
PK;Go;0;1;1.287478056663491;26.0;0.0;0.0973741409962219
PK;HLSL;0;1;1.402661285392507;36.0;0.0;0.1384572173481409
PK;Java;0;1;-0.6517373307398842;71.0;0.0;0.3927595304193844
PK;MATLAB;0;1;1.851954626548087;25.0;0.0;0.0861275727560468
PK;Makefile;0;1;1.5591381085575713;38.0;0.0;0.0940982713784579
PK;Perl;0;1;1.8863560192802729;30.0;0.0;0.0764272570503755
PK;PowerShell;0;1;0.9861365234164;37.0;0.0;0.1439033233861266
PK;Python;0;1;-0.0515691656205541;55.0;0.0;0.1941356528123342
PK;R;0;1;1.1157321177845223;31.0;0.0;0.1253787442797107
PK;Roff;0;1;2.065574294940661;29.0;0.0;0.0754660334572557
PK;Rust;0;1;2.066526429861059;25.0;0.0;0.0732353544143411
PK;ShaderLab;0;1;1.3223324757473052;33.0;0.0;0.1435282997366745
PK;Shell;0;1;-0.2279389609062087;76.0;0.0;0.1992429428507889
PK;Smarty;0;1;1.940829555675328;30.0;0.0;0.0789908401471488
PK;TeX;0;1;1.639072434856775;28.0;0.0;0.0870561334512373
PK;Vue;0;1;-0.590525457249937;48.0;0.0;0.436631525174858
PL;Awk;1;0;2.1774974410280534;27.0;1.0;0.5711293053538969
PL;Blade;0;1;-0.4723381228715559;54.0;0.0;0.4227624709820259
PL;CSS;0;1;-1.203894976903993;108.0;0.0;0.3641490622990337
PL;CoffeeScript;0;1;0.6534558130059742;19.0;0.0;0.4454198940760094
PL;Cuda;0;1;2.2742335047907805;16.0;0.0;0.5306703990954736
PL;Dart;0;1;-0.6366428602148355;37.0;0.0;0.3429235255398971
PL;Fortran;0;1;2.373897566350091;16.0;0.0;0.544580596227522
PL;FreeMarker;0;1;1.9765889340186649;12.0;0.0;0.554109349072211
PL;Go;0;1;1.287478056663491;26.0;0.0;0.5443180112605255
PL;HTML;0;1;-1.2864110948733187;117.0;0.0;0.3617647058823529
PL;Hack;0;1;-0.452883550093042;53.0;0.0;0.4322622250533911
PL;Handlebars;0;1;0.5673587643756741;36.0;0.0;0.4966141649598364
PL;JavaScript;0;1;-1.0682499970793824;113.0;0.0;0.3839181635444104
PL;Julia;0;1;2.236724776445191;17.0;0.0;0.5230233306905033
PL;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.4833915100817296
PL;Less;0;1;-0.3374503558491916;44.0;0.0;0.4348508360977062
PL;MATLAB;0;1;1.851954626548087;25.0;0.0;0.5610492399718005
PL;Objective-C;0;1;0.1069283514475007;45.0;0.0;0.4975089963788138
PL;PHP;0;1;-0.7117079578420717;95.0;0.0;0.4540951728867525
PL;Perl;0;1;1.8863560192802729;30.0;0.0;0.5680611603429203
PL;Pug;0;1;0.7398324276404348;30.0;0.0;0.5174816973953023
PL;R;0;1;1.1157321177845223;31.0;0.0;0.5427439409312698
PL;Ruby;0;1;-0.8041688921409909;56.0;0.0;0.4231575150073775
PL;Stylus;0;1;1.6634571847556403;12.0;0.0;0.4943908176200442
PL;Swift;0;1;-0.3984229658803768;48.0;0.0;0.416351075289577
PL;TeX;0;1;1.639072434856775;28.0;0.0;0.5642304113899129
PL;Vue;0;1;-0.590525457249937;48.0;0.0;0.4177032706980709
PL;XSLT;0;1;1.7269077328857083;31.0;0.0;0.5709878395493523
PL;Yacc;0;1;1.9951310454325637;27.0;0.0;0.5697764836006816
PS;Python;0;1;-0.0515691656205541;55.0;0.0;0.1242915020633528
PS;TypeScript;0;1;-0.1389597189676882;75.0;0.0;0.2230013176761968
PT;CSS;0;1;-1.203894976903993;108.0;0.0;0.5084317760418124
PT;Go;1;0;1.287478056663491;26.0;1.0;0.4461520497339686
PT;HTML;0;1;-1.2864110948733187;117.0;0.0;0.4882352941176471
PT;Hack;0;1;-0.452883550093042;53.0;0.0;0.5002292678133786
PT;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.4414880901977732
PT;Less;0;1;-0.3374503558491916;44.0;0.0;0.5299355508830533
PT;PHP;0;1;-0.7117079578420717;95.0;0.0;0.5156686315111914
PT;Python;0;1;-0.0515691656205541;55.0;0.0;0.4704072810279214
PT;R;0;1;1.1157321177845223;31.0;0.0;0.4824552158784257
PT;Ruby;1;0;-0.8041688921409909;56.0;1.0;0.4593109329966829
PT;Vue;0;1;-0.590525457249937;48.0;0.0;0.4875771436740403
RO;Blade;0;1;-0.4723381228715559;54.0;0.0;0.435983063130356
RO;Dart;0;1;-0.6366428602148355;37.0;0.0;0.3886347001124667
RO;Dockerfile;0;1;0.9633754239112304;45.0;0.0;0.4178880577415862
RO;Go;0;1;1.287478056663491;26.0;0.0;0.3674069937743218
RO;HTML;0;1;-1.2864110948733187;117.0;0.0;0.4788235294117647
RO;Hack;0;1;-0.452883550093042;53.0;0.0;0.4088687876874451
RO;Handlebars;0;1;0.5673587643756741;36.0;0.0;0.4475778807126436
RO;Jupyter Notebook;0;1;0.5112019474097586;24.0;0.0;0.3439586727362677
RO;Less;0;1;-0.3374503558491916;44.0;0.0;0.4342907154308771
RO;Perl;1;0;1.8863560192802729;30.0;1.0;0.3925297311896902
RO;Python;0;1;-0.0515691656205541;55.0;0.0;0.3884122215167386
RO;R;0;1;1.1157321177845223;31.0;0.0;0.390790527995706
RO;Ruby;0;1;-0.8041688921409909;56.0;0.0;0.3626928450460023
RO;Rust;1;0;2.066526429861059;25.0;1.0;0.3758630441958937
RO;SCSS;1;0;-0.6494982578622338;90.0;1.0;0.4401885666699026
RO;Shell;0;1;-0.2279389609062087;76.0;0.0;0.4267852902771659
RO;Starlark;0;1;0.5548298125965115;19.0;0.0;0.3271407377396293
RO;Swift;0;1;-0.3984229658803768;48.0;0.0;0.3972895940972523
RO;TeX;0;1;1.639072434856775;28.0;0.0;0.3953785501666941
RO;Vim Script;0;1;1.9750874907129656;27.0;0.0;0.3851812158294702
RO;Vue;0;1;-0.590525457249937;48.0;0.0;0.4015093248446998
RS;Batchfile;0;1;1.754625822469334;36.0;0.0;0.090484070890393
RS;C;0;1;1.51083919229093;37.0;0.0;0.09714847532087
RS;C++;0;1;1.185716911826135;36.0;0.0;0.110053696719266
