iso2_code;topic;exit01;consider00;pci;ubiquity;rca01;density
IN;kubernetes;0;1;1.1952355297207524;11.0;0.0;0.2903333040577837
IN;library;0;1;1.762578761600589;8.0;0.0;0.2909510645446436
IN;linux;0;1;0.9332024743886762;14.0;0.0;0.2895650054470735
IN;macos;0;1;1.990866400270123;8.0;0.0;0.2828000467830693
IN;nextjs;0;1;2.00545304732939;6.0;0.0;0.3291599950496354
IN;node;0;1;2.08870546323502;8.0;0.0;0.3197188348077163
IN;php;0;1;0.5270186169395704;18.0;0.0;0.2963641504540552
IN;postgresql;0;1;2.0920693639543164;7.0;0.0;0.3176585733448711
IN;python;0;1;-1.058557060026412;34.0;0.0;0.2947950253339474
IN;pytorch;0;1;1.7312603454733648;6.0;0.0;0.3370058531093314
IN;react;0;1;-0.7617940400737756;33.0;0.0;0.3426652761721519
IN;ruby;0;1;1.8136611131907523;8.0;0.0;0.27657268287649
IN;rust;0;1;1.8324563928023487;9.0;0.0;0.282648442519162
IN;security;0;1;2.0954564726785323;6.0;0.0;0.2825955445222376
IN;serverless;0;1;2.670531980796082;2.0;0.0;0.2807620908026693
IN;spring-boot;0;1;1.6797726526431322;7.0;0.0;0.3341373593107892
IN;sql;0;1;2.0564058484742764;7.0;0.0;0.3461025553641962
IN;testing;0;1;2.2501361685851258;5.0;0.0;0.2571588125841687
IN;typescript;0;1;0.1376425923487668;23.0;0.0;0.3405195254909574
IN;visualization;0;1;2.420644480220083;4.0;0.0;0.2886237890081417
IN;vue;0;1;0.7799435563646586;9.0;0.0;0.3393083004073522
IN;web;0;1;2.08870546323502;8.0;0.0;0.3197188348077163
IN;website;0;1;1.1739374663358244;9.0;0.0;0.2917911018468924
IN;windows;0;1;1.990866400270123;8.0;0.0;0.2828000467830693
JP;css;0;1;0.1237724790858936;17.0;0.0;0.3890109093673253
JP;hacktoberfest;0;1;-1.019202269756317;33.0;0.0;0.4499394824770831
JP;html;0;1;0.4173988683266727;16.0;0.0;0.394026284845645
KR;hacktoberfest;0;1;-1.019202269756317;33.0;0.0;0.4643067348004429
RU;css;0;1;0.1237724790858936;17.0;0.0;0.5168446073493383
RU;hacktoberfest;0;1;-1.019202269756317;33.0;0.0;0.55666764259347
RU;machine-learning;0;1;0.6746105845010835;12.0;0.0;0.4634274416083735
RU;nodejs;0;1;-0.4472776173833576;23.0;0.0;0.6005155638461279
RU;reactjs;0;1;0.1524751273135341;13.0;0.0;0.4752117761905932
TR;hacktoberfest;0;1;-1.019202269756317;33.0;0.0;0.3801556854779072
UA;hacktoberfest;0;1;-1.019202269756317;33.0;0.0;0.1662496340274486
UA;python;0;1;-1.058557060026412;34.0;0.0;0.1865499769691386
US;android;0;1;0.8951118011312261;15.0;0.0;0.4801063685577429
US;css;0;1;0.1237724790858936;17.0;0.0;0.3695311081993712
US;css3;0;1;1.5681436786290273;4.0;0.0;0.5695482805895966
US;firebase;0;1;1.5158107597399606;6.0;0.0;0.6439442338362034
US;flutter;0;1;2.131176542366028;4.0;0.0;0.658761342481224
US;hacktoberfest-accepted;0;1;1.2446344473116062;2.0;0.0;0.5292480479591516
US;html;0;1;0.4173988683266727;16.0;0.0;0.3958299865612324
US;html5;0;1;1.2889061604750314;5.0;0.0;0.5644147853177969
US;java;0;1;-0.6917789569573093;29.0;0.0;0.3441621386565255
US;javascript;0;1;-0.9535962940310204;40.0;0.0;0.2827938671209541
US;js;0;1;1.7365462004110248;7.0;0.0;0.6110172028268392
US;kotlin;0;1;1.3411051188764536;11.0;0.0;0.6156583345989683
US;mongodb;0;1;1.4295567306727086;9.0;0.0;0.573484931265013
US;mysql;0;1;0.9997387327281808;7.0;0.0;0.5151452702430434
US;nodejs;0;1;-0.4472776173833576;23.0;0.0;0.3203612626127072
US;php;0;1;0.5270186169395704;18.0;0.0;0.5064980537420996
US;react;0;1;-0.7617940400737756;33.0;0.0;0.3023517142695459
US;reactjs;0;1;0.1524751273135341;13.0;0.0;0.4198223491506875
US;spring-boot;0;1;1.6797726526431322;7.0;0.0;0.6780765881380174
US;typescript;0;1;0.1376425923487668;23.0;0.0;0.4217694926992554
US;vue;0;1;0.7799435563646586;9.0;0.0;0.4597788057132314
