iso2_code;cluster_id;entry01;consider00;pci;ubiquity;rca01;density
BE;8.0;0;1;-0.0585876741607944;80.0;0.0;0.3148788927335639
BE;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1570689000327559
BE;11.0;0;1;-0.9053943017322462;38.0;0.0;0.1278332467092912
BE;12.0;0;1;1.1904149973858782;13.0;0.0;0.4454362048827977
BE;14.0;0;1;1.1620684754184163;14.0;0.0;0.5355703332013592
BE;16.0;0;1;1.166622882986038;8.0;0.0;0.4867451452209293
BE;19.0;0;1;-0.1315802239610624;49.0;0.0;0.2714238713428478
BE;25.0;0;1;-2.851588946771374e-05;80.0;0.0;0.3407917383820998
BE;33.0;0;1;1.2731177358659194;17.0;0.0;0.5742870509049652
BE;40.0;0;1;0.60027623407388;12.0;0.0;0.3920416143471548
BG;1.0;0;1;-2.1965966891388464;33.0;0.0;0.1053891962144442
BG;2.0;0;1;0.6857744079889588;12.0;0.0;0.0779590224390092
BG;3.0;0;1;0.7833126064179957;10.0;0.0;0.1096970819402524
BG;5.0;0;1;0.1017500727985483;33.0;0.0;0.2846999702547416
BG;8.0;0;1;-0.0585876741607944;80.0;0.0;0.3737024221453287
BG;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1064080196090123
BG;11.0;0;1;-0.9053943017322462;38.0;0.0;0.1278959160017998
BG;16.0;0;1;1.166622882986038;8.0;0.0;0.1961402388329248
BG;19.0;0;1;-0.1315802239610624;49.0;0.0;0.2939910567755417
BG;21.0;1;0;-0.114908452168559;50.0;1.0;0.311684946675499
BO;1.0;0;1;-2.1965966891388464;33.0;0.0;0.1310128342911836
BO;2.0;0;1;0.6857744079889588;12.0;0.0;0.0237384800889753
BO;3.0;0;1;0.7833126064179957;10.0;0.0;0.0200247347938971
BO;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1446574130893065
BO;11.0;0;1;-0.9053943017322462;38.0;0.0;0.2721337690883356
BO;21.0;0;1;-0.114908452168559;50.0;0.0;0.4458847369463137
BR;1.0;1;0;-2.1965966891388464;33.0;1.0;0.1700883700795764
BR;2.0;0;1;0.6857744079889588;12.0;0.0;0.107830219160595
BR;3.0;0;1;0.7833126064179957;10.0;0.0;0.0951882310559938
BR;4.0;0;1;1.265956554326927;18.0;0.0;0.1168016594281432
BR;6.0;0;1;1.2781483401864266;6.0;0.0;0.1015774668574522
BR;7.0;0;1;1.2242628697114926;22.0;0.0;0.1157959959868678
BR;9.0;0;1;1.1350545013133064;19.0;0.0;0.1081161543909826
BR;10.0;0;1;-0.7677834872566762;19.0;0.0;0.138074605592513
BR;11.0;0;1;-0.9053943017322462;38.0;0.0;0.1968800587937438
BR;12.0;0;1;1.1904149973858782;13.0;0.0;0.1038909956249849
BR;14.0;0;1;1.1620684754184163;14.0;0.0;0.0983622116849401
BR;15.0;0;1;0.2167324806246045;56.0;0.0;0.2950983835131555
BR;16.0;0;1;1.166622882986038;8.0;0.0;0.0899443871031831
BR;17.0;0;1;0.6591238368633976;35.0;0.0;0.2125663676760125
BR;18.0;0;1;0.3751752320370706;69.0;0.0;0.2255955596118385
BR;20.0;0;1;1.1408665572543455;26.0;0.0;0.1362348020987198
BR;21.0;0;1;-0.114908452168559;50.0;0.0;0.2632834595049119
BR;24.0;0;1;1.02771884270935;29.0;0.0;0.1084122607609781
BR;25.0;0;1;-2.851588946771374e-05;80.0;0.0;0.2925989672977624
BR;26.0;0;1;0.9948344107655204;26.0;0.0;0.1106556080816037
