iso2_code;cluster_id;entry01;consider00;pci;ubiquity;rca01;density
BD;34.0;0;1;1.8229487376342035;33.0;0.0;0.0928491186599066
BE;1.0;0;1;-1.5310079173161557;85.0;0.0;0.4177149651385759
BE;2.0;0;1;1.0484893605030814;36.0;0.0;0.633085211773155
BE;5.0;0;1;-0.4200124488780536;50.0;0.0;0.4760858515858425
BE;10.0;0;1;-0.5355804874514659;45.0;0.0;0.5291302064790399
BE;19.0;0;1;-0.6092345734189457;79.0;0.0;0.4878877563538278
BE;25.0;0;1;-0.696317419900165;88.0;0.0;0.4880854560394413
BE;40.0;0;1;1.1181887107583768;28.0;0.0;0.6158856253025502
BG;1.0;1;0;-1.5310079173161557;85.0;1.0;0.4758888281772806
BG;3.0;0;1;1.4108308443018542;38.0;0.0;0.2560105547083506
BG;5.0;0;1;-0.4200124488780536;50.0;0.0;0.4127420372035539
BG;10.0;0;1;-0.5355804874514659;45.0;0.0;0.2666402237836804
BG;11.0;0;1;-0.4593823573642193;70.0;0.0;0.3126581224002947
BO;2.0;0;1;1.0484893605030814;36.0;0.0;0.070852427196441
BO;3.0;0;1;1.4108308443018542;38.0;0.0;0.0619037839566945
BO;10.0;0;1;-0.5355804874514659;45.0;0.0;0.1632316531556428
BR;2.0;0;1;1.0484893605030814;36.0;0.0;0.1749542344254883
BR;3.0;0;1;1.4108308443018542;38.0;0.0;0.173097820874038
BR;4.0;0;1;1.548653428984995;32.0;0.0;0.1851750866093756
BR;6.0;0;1;2.134744051767734;11.0;0.0;0.198752305810253
BR;7.0;0;1;1.938615016250654;27.0;0.0;0.1619518154216269
BR;9.0;0;1;1.6229599702141269;36.0;0.0;0.174408181404098
BR;10.0;0;1;-0.5355804874514659;45.0;0.0;0.2551051970068832
BR;11.0;0;1;-0.4593823573642193;70.0;0.0;0.2725242670734629
BR;12.0;0;1;1.83505819916364;24.0;0.0;0.1580066927785829
BR;14.0;0;1;1.8929594941972716;30.0;0.0;0.1662631198569394
BR;16.0;0;1;1.6264851572309549;31.0;0.0;0.1597245665901123
BR;17.0;0;1;0.6206703408771946;35.0;0.0;0.2619398899035661
BR;18.0;0;1;-0.0693373471202567;78.0;0.0;0.3852372229669721
BR;20.0;0;1;1.6938870086519864;27.0;0.0;0.1821158724551684
BR;24.0;0;1;1.4298958491314566;40.0;0.0;0.1789493895216819
BR;26.0;0;1;1.4631831505099593;37.0;0.0;0.1747357171861651
BR;27.0;0;1;1.1628686697451442;39.0;0.0;0.191429668310211
BR;28.0;0;1;1.9259977411386715;28.0;0.0;0.1762172456838984
BR;29.0;0;1;1.8636303512102153;31.0;0.0;0.1537409713082995
BR;32.0;0;1;2.055984083255802;23.0;0.0;0.1768455404168946
BR;33.0;0;1;2.0369102602569624;27.0;0.0;0.153744903098007
BR;34.0;0;1;1.8229487376342035;33.0;0.0;0.1541201846729767
BR;35.0;0;1;2.1412832840966787;19.0;0.0;0.1896634813706908
BR;38.0;0;1;1.0508612525067016;33.0;0.0;0.2432927666293791
BR;39.0;0;1;1.7491188857965398;31.0;0.0;0.1614283202067069
BR;41.0;0;1;1.7318867513913812;36.0;0.0;0.1702977140074835
BR;42.0;0;1;1.7024775051477616;33.0;0.0;0.157339336400337
BR;43.0;0;1;2.051047000634888;24.0;0.0;0.1528052358023864
BR;44.0;0;1;1.9913303742576705;20.0;0.0;0.2139329363593989
BR;45.0;0;1;1.7609958269613748;32.0;0.0;0.1605219651914037
BR;47.0;0;1;2.157583564270422;15.0;0.0;0.2181556943468777
BR;51.0;0;1;2.079039435317169;18.0;0.0;0.1812844796201638
BR;52.0;0;1;2.105844263934367;19.0;0.0;0.1961786811280983
BR;53.0;0;1;2.3040746406706196;13.0;0.0;0.2024841071783314
BR;55.0;0;1;2.1836144599760616;16.0;0.0;0.2026762401741526
BR;56.0;0;1;2.1699259287450805;14.0;0.0;0.2150272225755453
BR;57.0;0;1;1.4493509711185564;22.0;0.0;0.2062506773460866
BR;59.0;0;1;1.7902655150686793;23.0;0.0;0.1932595853510388
BY;2.0;0;1;1.0484893605030814;36.0;0.0;0.2285382179067899
BY;3.0;0;1;1.4108308443018542;38.0;0.0;0.2239972831239724
BY;5.0;0;1;-0.4200124488780536;50.0;0.0;0.4459349200922299
BY;8.0;0;1;-0.6974731199781791;89.0;0.0;0.5107003891050584
BY;10.0;0;1;-0.5355804874514659;45.0;0.0;0.2475713211934777
BY;11.0;0;1;-0.4593823573642193;70.0;0.0;0.285060083557354
BY;12.0;0;1;1.83505819916364;24.0;0.0;0.1932659645383714
BY;16.0;0;1;1.6264851572309549;31.0;0.0;0.2177358164706075
BY;34.0;0;1;1.8229487376342035;33.0;0.0;0.2331593587292323
BY;39.0;0;1;1.7491188857965398;31.0;0.0;0.2299261301932988
BY;45.0;0;1;1.7609958269613748;32.0;0.0;0.2295790029174504
CA;1.0;0;1;-1.5310079173161557;85.0;0.0;0.261254192682273
CA;5.0;0;1;-0.4200124488780536;50.0;0.0;0.3964675790421154
CA;8.0;0;1;-0.6974731199781791;89.0;0.0;0.333657587548638
CA;14.0;0;1;1.8929594941972716;30.0;0.0;0.6801559777049038
CA;18.0;0;1;-0.0693373471202567;78.0;0.0;0.4018923326868214
CA;19.0;0;1;-0.6092345734189457;79.0;0.0;0.3464692740535632
CA;20.0;1;0;1.6938870086519864;27.0;1.0;0.642771382788834
