"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country","Country ID"
0.6980615998,0.6015747264,0.6067955034,0.5778510035,0.5935555598,0.6365406273,0.7456944082,0.7341078308,0.782619222,0.8246157971,0.820269988,0.8749879118,0.8722454169,0.8584986947,0.8967112917,0.9228948945,0.9150557224,0.9130611673,0.797460666,0.754555762,0.7845028466,0.7752972002,0.799285599,0.8425533288,0.8233493949,"Belarus","eublr"
,1.1761411176,1.2387638306,1.2533416872,1.3344103446,1.3607971354,1.3530838363,1.3625965484,1.2958160259,1.2622605766,1.2721911247,1.2439882799,1.3112864892,1.4280509626,1.4432224839,1.424642872,1.3638771748,1.4111146865,1.4107314552,1.401945874,1.35487749,1.3455082441,1.3559632069,1.2966120111,1.2537987857,"Belgium","eubel"
,,,,,,,,,,,,,,,,-0.5691558435,-0.5009625744,,,,,,-0.6957473883,-0.4992317445,"Benin","afben"
,,-0.2860480361,-0.2856474023,-0.5916237884,-0.6730989753,-0.7682361821,-0.9051393706,-0.7746583161,-0.7989389658,-0.7034517516,-0.8618548448,-1.0257476613,-1.0834530965,-0.5970756187,-0.6168153899,-0.6448228203,-0.8651932394,-0.9380191993,-0.8912677556,-0.9578033843,-1.0103731957,-1.0184894713,-1.0151181492,-0.8540012317,"Bolivia","sabol"
,,,,,,,0.2383056994,0.3280527151,0.3482079957,0.3885061817,0.4132738427,0.4198292046,0.4783205409,0.465146274,0.4937008841,0.5233671651,0.4329254294,0.4364708403,0.4887031754,0.5343993135,0.5763450086,0.5333403183,0.6628491965,0.6695443447,"Bosnia and Herzegovina","eubih"
,,,-0.2300434051,-0.5508254288,-0.5920731116,-0.6609651628,-0.854313,-0.899089589,-0.8632045083,-0.5617273683,-0.2102141733,-0.1289363214,-0.2063988949,-0.3228029086,-0.4858050161,-0.3764203671,-0.3942685903,-0.5753478926,-0.4516819032,-0.4258486761,-0.4166806078,-0.5753999112,-0.7164841714,-0.5871702086,"Botswana","afbwa"
0.6825657012,0.5941776742,0.5992433249,0.5859414389,0.6194923725,0.5829481868,0.6428699525,0.6649329295,0.6906291001,0.7598303333,0.7573420308,0.6958764674,0.6890802444,0.7040838755,0.7240637148,0.750742076,0.6989991412,0.688304054,0.5786380377,0.5456447341,0.5365455949,0.4462339916,0.4689923698,0.3297044535,0.3591338056,"Brazil","sabra"
0.0969490211,0.1181549805,0.1526542712,0.1443836229,0.1190372156,0.0674608563,0.1442058029,0.1369272029,0.1708461789,0.297350098,0.3569191788,0.3902166522,0.3413944985,0.3830660127,0.4223518023,0.46483095,0.4826331057,0.4395387419,0.4256824147,0.4297053743,0.4376486278,0.4803189082,0.534602178,0.6431719777,0.6844583437,"Bulgaria","eubgr"
,,,,,,,,,,,,,-1.2484912525,-1.3699374707,-1.4434488737,-1.1651440215,-1.144462903,-1.3540672763,-1.4899662947,-1.5039711215,-1.4793260466,-1.7119804639,-1.8663299371,-1.9084665031,"Burkina Faso","afbfa"
,,,-1.3970218623,-1.5608973216,-1.6732294718,-1.4896276031,-1.4495019579,-1.3873182028,-1.383390353,-1.4406695204,-1.4745216113,-1.650370168,-1.6677112372,-1.5469623793,-1.4967243569,-1.4774264551,-1.4773375254,-1.5040199534,-1.3033189795,-1.1497718547,-1.1451046197,-1.1285946642,-0.8474899772,-0.8367231199,"Burma","asmmr"
,,,-1.4980068592,-1.6460073585,-1.7001794404,-1.6740984194,-1.7375814937,-1.6915563088,-1.3819421038,-1.3175850464,-1.2815177052,-1.4631383799,-1.5124993008,-1.4758444287,-1.3925574203,-1.2016009902,-1.1017893017,-1.1800355405,-0.9673113259,-0.9452904455,-0.9176950208,-0.9406396996,-0.6506479306,-0.5988699552,"Cambodia","askhm"
-1.7915449508,-1.776802384,-1.7856846389,-1.6166171591,-1.3282526084,-1.233085765,-1.2215002319,-1.6327636264,-1.8540448664,-1.2212402436,-1.0558471351,-1.0169184347,-1.1167573444,-0.9814058107,-1.0270393783,-0.8956962742,-0.8450147428,-0.8163112869,-0.7236764291,-0.9080333214,-1.0935582965,-1.106659068,-1.1641314092,-1.1303160226,-1.0100655505,"Cameroon","afcmr"
1.16120071,1.0562625129,1.0499143182,1.0698039897,1.105447233,1.0618635378,1.0331368939,0.9990579993,0.9323774626,0.886063925,0.8991576156,0.9530585386,0.9668037409,0.9573639821,0.9606407536,0.9479270348,0.9865119477,0.9790640964,0.9474256299,0.9500682843,0.9382391,0.9501451795,0.9188704729,0.910766862,0.9248200801,"Canada","nacan"
,,,,,,,,-1.4711042879,-1.8441754871,-2.7678059651,-1.7730807499,-0.2835605599,-0.1760001227,-1.3006067133,-2.7784448486,-2.6831591194,-2.2292793295,-1.7878959475,-1.6240424222,-1.8782610584,,-1.5785008561,-1.95193523,-1.7380052278,"Chad","aftcd"
0.2794715422,0.1346296191,0.0743641562,0.0802081979,-0.0744265543,-0.1832162001,-0.2420967386,-0.2543031873,-0.2390265094,-0.2146899393,-0.2526503771,-0.2191549325,-0.2143141697,-0.1710270452,-0.0819117325,-0.0341534534,0.019602362,-0.09294931,-0.155697402,-0.1963716352,-0.157196084,-0.2294451662,-0.2226030419,-0.2573268692,-0.1775837442,"Chile","sachl"
-0.3780588777,-0.3071098821,-0.1150522501,-0.0090157568,-0.0420543644,-0.0191500865,0.1945272849,0.2472856463,0.3955005338,0.5755275069,0.6629079719,0.6838964436,0.6693921548,0.7588226843,0.815726697,0.8465946221,0.8611458001,0.8640843205,0.8143639687,0.8673823081,0.9160289701,0.9603988918,0.9936056203,1.088476893,1.1159557173,"China","aschn"
