iso2_code;year;developers;software_eci_2020;trade_eci_2020;tech_eci_2020;research_eci_2020;iso3_code;pop_o;gdp_o;gdpcap_o;gdp_ppp_o;gdpcap_ppp_o;gini_mean;country;emissions;nat_res
DJ;2020;854;;;;;DJI;988.002;3181071.154;3.22;5466301.003;5.533;43.6;;;
DK;2020;193970;1.5242598874010485;0.9759024257;1.058367376;1.696504845;DNK;5831.404;356084867.686;61.063;351224965.911;60.23;28.02;DNK;4.903415902;8.766266778
DM;2020;360;;;;;DMA;71.991;504214.815;7.004;778800.434;10.818;;;;
DO;2020;45249;-0.4993630887228807;-0.1459111716;-1.012197701;-1.377008374;DOM;10847.904;78844702.329;7.268;194548406.721;17.934;45.18;DOM;5.31561254;6.271404987
DZ;2020;107691;-0.5868757069639611;-1.2063896651;-0.4669417586;-0.9763232718;DZA;43851.044;145009181.491;3.307;496539051.022;11.323;27.6;DZA;6.331479081;6.537744075
EC;2020;85231;-0.4502455858997813;-0.9819097494;-1.02227308;-0.5095350614;ECU;17643.061;99291124.0;5.628;192140979.865;10.89;45.949999999999996;ECU;5.925377659;7.12543532
EE;2020;44525;0.2445379148926444;;;;EST;1329.479;30650285.472;23.054;50048531.249;37.645;32.25;;;
EG;2020;283490;0.1402243737345878;-0.1588711503;-0.2905749178;0.1724340308;EGY;102334.404;365252651.279;3.569;1290025001.306;12.606;30.74;EGY;5.535813547;5.345761058
ER;2020;237;;;;;ERI;;;;;;;;;
ES;2020;731832;1.82501101907482;0.7631291567;1.20646708;1.764439138;ESP;47363.419;1281484640.044;27.056;1788269872.313;37.756;35.43;ESP;5.101172204;7.891862395
ET;2020;27790;-0.3730198710880073;-0.8666159809;;0.3410764616;ETH;;;;;;34.1;;;
ET;2020;27790;-0.3730198710880073;-0.8666159809;;0.3410764616;ETH;114963.585;107657734.392;0.936;278520091.213;2.423;34.1;;;
EU;2020;7778695;;;;;;;;;;;;;;
FI;2020;158859;1.54749162920113;1.4842227595;1.349203702;1.515226361;FIN;5529.543;271836962.949;49.161;281659220.687;50.937;27.3;FIN;5.283218059;8.753120154
FJ;2020;2118;;;;;FJI;896.444;4574413.823;5.103;10899184.264;12.158;33.7;;;
FM;2020;130;;;;;FSM;115.021;407515.928;3.543;408623.149;3.553;40.1;;;
FO;2020;892;;;;;FRO;48.865;3240759.989;66.321;;;;;;
FR;2020;1187586;2.002034054742704;1.35268049;1.078811993;1.75192853;FRA;67379.906;2630317731.455;39.037;3166261521.878;46.991;32.47;FRA;4.902497153;7.769610725
GA;2020;1738;;-1.375684621;;-0.4151175056;GAB;2225.728;15316824.039;6.882;33619920.387;15.105;38.0;;;
GB;2020;1796133;2.0306088208204796;1.4228338108;1.107142306;2.38972371;GBR;67081.001;2756900214.107;41.098;3121071774.835;46.527;33.13000000000001;GBR;4.964096607;7.68799905
GD;2020;733;;;;;GRD;112.519;1043411.111;9.273;1718563.487;15.274;;;;
GE;2020;34797;-0.6294455109370353;-0.0525199928;-0.7160360234;0.7694212694;GEO;3722.716;15842922.533;4.256;54840076.153;14.731;37.75999999999999;GEO;5.791412841;6.524327934
GF;2020;879;;;;;GUF;;;;;;;;;
GG;2020;864;;;;;;;;;;;;;;
GH;2020;51654;-0.5164352022926604;-1.2923209536;-2.019038026;0.3130957691;GHA;31072.945;70043199.814;2.254;178658725.562;5.75;42.95;GHA;5.394275845;6.365286734
GI;2020;860;;;;;GIB;33.691;;;;;;;;
GL;2020;408;;;;;GRL;56.367;3075968.329;54.57;;;;;;
GM;2020;1661;;;;;GMB;2416.664;1830413.0;0.757;5501899.807;2.277;39.75;;;
GN;2020;1697;;-1.6714268892;;-0.5383357446;GIN;13132.792;14169626.01;1.079;36173203.713;2.754;31.650000000000002;;;
GP;2020;2387;;;;;GLP;;;;;;;;;
GQ;2020;277;;;;;GNQ;1402.985;10099157.27;7.198;25474719.319;18.158;;;;
GR;2020;129113;1.1832102871422294;0.2555522905;-1.022147264;0.9343094466;GRC;10700.556;188835201.626;17.647;299066091.543;27.949;34.85;GRC;5.528908323;7.76815493
GT;2020;41342;-0.2574715537662065;-0.3842955146;-1.275616716;-0.8505491876;GTM;16858.334;77604632.621;4.603;149245941.088;8.853;48.3;GTM;5.477760942;6.182785333
GU;2020;1823;;;;;GUM;168.783;5844000.0;34.624;;;;;;
GW;2020;119;;;;;GNB;1967.998;1431758.243;0.728;3834926.315;1.949;42.75;;;
GY;2020;2131;;;;;GUY;786.559;5471256.595;6.956;15497551.857;19.703;;;;
HK;2020;488005;1.7762231163774722;1.1026203972;0.6343646959;0.9954691737;HKG;7481.0;344881400.505;46.101;441229462.673;58.98;;;;
HN;2020;19357;-0.5174875403031709;-0.5992570155;;-0.8505491876;HND;9904.608;23827840.81;2.406;53680916.828;5.42;50.449999999999996;;;
HR;2020;64276;0.3760171076136885;0.7428212073;0.3410585121;0.276223472;HRV;4047.68;57203783.203;14.132;116493512.462;28.78;31.229999999999997;HRV;5.254419729;7.61445266
HT;2020;4970;-1.1861853562855649;;;;HTI;11402.533;14508218.017;1.272;35290173.969;3.095;41.1;;;
HU;2020;156755;1.1091660175350146;1.4125583725;0.9459864232;0.8516800584;HUN;9750.149;156743134.666;16.076;324429847.526;33.274;30.27;HUN;5.301009952;7.832936979
ID;2020;1046177;1.102850925258933;-0.0742926089;-0.293287567;-0.007833783094;IDN;;;;;;39.37;IDN;5.761431428;6.082594978
ID;2020;1046177;1.102850925258933;-0.0742926089;-0.293287567;-0.007833783094;IDN;273523.621;1058688935.455;3.871;3302097492.964;12.072;39.37;IDN;5.761431428;6.082594978
IE;2020;161041;1.4295761195943435;1.3087241203;0.7910981544;1.677948638;IRL;4985.674;425888950.992;85.423;465413104.314;93.35;32.12;IRL;4.963806155;8.438755455
IL;2020;281155;1.3541606556715076;1.1537235486;0.7517159213;1.795970695;ISR;9215.1;407100736.594;44.178;363897671.288;39.489;40.111111111111114;ISR;5.45311027;7.742436635
IM;2020;1962;;;;;;;;;;;;;;
