iso2_code;language;num_pushers;year;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca
EE;PLSQL;0;2020;18;21;0;0.04005011120752553;2.030920894757417;0.0667170277890798;-0.13472119358799697;1.0375844125243554;0.0
EE;PLpgSQL;0;2020;18;28;0;0.04005011120752553;2.029875302592938;0.08867980031366333;-0.13472119358799697;0.9935761177071629;0.0
EE;POV-Ray SDL;0;2020;18;2;0;0.04005011120752553;2.7878143863201856;0.01711124049278695;-0.13472119358799697;0.5909343675003671;0.0
EE;Pascal;0;2020;18;19;0;0.04005011120752553;2.167910902389477;0.058001573824335226;-0.13472119358799697;1.1365352535127025;0.0
EE;Pawn;0;2020;18;11;0;0.04005011120752553;2.5711769218649727;0.033263165261960284;-0.13472119358799697;1.399477152952242;0.0
EE;Perl;104;2020;18;28;0;0.04005011120752553;2.0616309867893636;0.09329963241053453;-0.13472119358799697;0.9806421985071707;0.308051554602448
EE;PostScript;0;2020;18;12;0;0.04005011120752553;2.5729043658283746;0.033272574585180244;-0.13472119358799697;1.4101929368255857;0.0
EE;PowerShell;328;2020;18;34;0;0.04005011120752553;1.0895547973172792;0.1396582407704818;-0.13472119358799697;0.5619785338879659;0.839263595097091
EE;Processing;0;2020;18;15;0;0.04005011120752553;2.01918658526876;0.04325714123120875;-0.13472119358799697;1.132178906805334;0.0
EE;Prolog;0;2020;18;16;0;0.04005011120752553;2.4447596006677936;0.04349908900546778;-0.13472119358799697;1.3217158907883053;0.0
EE;Pug;0;2020;18;23;0;0.04005011120752553;0.7453729950924114;0.11597514939825598;-0.13472119358799697;0.3045348566082901;0.0
EE;Puppet;0;2020;18;8;0;0.04005011120752553;2.238534767389302;0.027036846691690205;-0.13472119358799697;1.1593793427009778;0.0
EE;PureBasic;0;2020;18;9;0;0.04005011120752553;2.1614247227725008;0.028957059840035566;-0.13472119358799697;1.138219027485257;0.0
EE;Python;3843;2020;18;58;0;0.04005011120752553;-0.09511231358600238;0.21034735639564386;-0.13472119358799697;0.2443588158371986;0.9475131838571402
EE;QML;0;2020;18;11;0;0.04005011120752553;2.2050092718077527;0.03594115193512938;-0.13472119358799697;1.1263946076611984;0.0
EE;QMake;0;2020;18;20;0;0.04005011120752553;1.8047030014255865;0.07491044137471153;-0.13472119358799697;0.8216010988904473;0.0
EE;R;105;2020;18;26;0;0.04005011120752553;1.4475491861001404;0.09895126696783883;-0.13472119358799697;0.7240425559717919;0.3252322946177889
EE;Raku;0;2020;18;20;0;0.04005011120752553;2.4010484824898386;0.054519371869534206;-0.13472119358799697;1.2864421825206553;0.0
EE;Rebol;0;2020;18;16;0;0.04005011120752553;1.2714436592529523;0.052316682405153817;-0.13472119358799697;0.8922877315935908;0.0
EE;RobotFramework;0;2020;18;8;0;0.04005011120752553;1.8511328843402397;0.033996376138405386;-0.13472119358799697;0.9069139298279036;0.0
EE;Roff;0;2020;18;30;0;0.04005011120752553;2.0239930348123463;0.1002798985392219;-0.13472119358799697;0.9420251309486662;0.0
EE;Ruby;1366;2020;18;48;0;0.04005011120752553;-0.6145237630743907;0.26215702920081674;-0.13472119358799697;-0.00047317969740221384;0.8740219818870831
EE;Rust;0;2020;18;24;0;0.04005011120752553;2.081404297527888;0.08040142919454234;-0.13472119358799697;0.9853203900914658;0.0
EE;SCSS;785;2020;18;86;1;0.04005011120752553;-0.6292083404112239;0.43039697605291843;-0.13472119358799697;-0.0;1.1061858419779227
EE;SQLPL;0;2020;18;13;0;0.04005011120752553;2.3560768234639733;0.0389984642456652;-0.13472119358799697;1.2744880139339199;0.0
EE;SWIG;0;2020;18;12;0;0.04005011120752553;2.541679026098737;0.03477779705815373;-0.13472119358799697;1.350221714722204;0.0
EE;Sass;0;2020;18;25;0;0.04005011120752553;1.365870675154047;0.09294704371135236;-0.13472119358799697;0.7403329332307618;0.0
EE;Scala;0;2020;18;29;0;0.04005011120752553;2.092814299225524;0.09069000075572665;-0.13472119358799697;0.9837977543204028;0.0
EE;Scheme;0;2020;18;14;0;0.04005011120752553;2.470711288950302;0.04036963720522027;-0.13472119358799697;1.3303815196352053;0.0
EE;Scilab;0;2020;18;9;0;0.04005011120752553;2.57197555813196;0.026401442600159693;-0.13472119358799697;1.3708542223426554;0.0
EE;ShaderLab;0;2020;18;30;0;0.04005011120752553;1.5621202153340101;0.10852952250044581;-0.13472119358799697;0.7236661362052396;0.0
EE;Shell;4228;2020;18;75;1;0.04005011120752553;-0.04362221514934985;0.2659107448672007;-0.13472119358799697;0.0;1.1890356897157828
EE;SmPL;0;2020;18;12;0;0.04005011120752553;2.265960738554269;0.039875079075526176;-0.13472119358799697;1.2099000443992616;0.0
EE;Smalltalk;0;2020;18;21;0;0.04005011120752553;2.0721355461120186;0.061061579234945464;-0.13472119358799697;1.1073826840470395;0.0
EE;Smarty;0;2020;18;27;0;0.04005011120752553;2.0269236633262837;0.0898170814892546;-0.13472119358799697;0.9787510157173299;0.0
EE;Solidity;0;2020;18;15;0;0.04005011120752553;1.6996025046735295;0.05052851498873299;-0.13472119358799697;0.9305927464474649;0.0
EE;SourcePawn;0;2020;18;7;0;0.04005011120752553;2.669856129601012;0.024176789145470227;-0.13472119358799697;1.2871240704107008;0.0
EE;Standard ML;0;2020;18;8;0;0.04005011120752553;2.3497765813708877;0.03616263993446027;-0.13472119358799697;0.9735901920488903;0.0
EE;Starlark;0;2020;18;19;0;0.04005011120752553;0.5218120909213052;0.11948041776274794;-0.13472119358799697;0.20374319118313539;0.0
EE;Stata;0;2020;18;6;0;0.04005011120752553;2.323015432632943;0.02413648308303779;-0.13472119358799697;1.0463186817871317;0.0
EE;Stylus;0;2020;18;6;0;0.04005011120752553;2.1827047403867303;0.04913331099452345;-0.13472119358799697;0.5196473417620449;0.0
EE;Svelte;0;2020;18;15;0;0.04005011120752553;2.3797234434581975;0.04330939501252179;-0.13472119358799697;1.2924592090783045;0.0
EE;Swift;0;2020;18;44;0;0.04005011120752553;-0.3251874764281593;0.2822229508896823;-0.13472119358799697;-0.11225819286039182;0.0
EE;SystemVerilog;0;2020;18;6;0;0.04005011120752553;2.6508475943703957;0.024867813212693983;-0.13472119358799697;1.118161299072654;0.0
EE;TSQL;639;2020;18;50;1;0.04005011120752553;-0.14615867757939405;0.33987457624858924;-0.13472119358799697;0.0;1.2053946285044899
EE;Tcl;0;2020;18;22;0;0.04005011120752553;2.202668557280215;0.06666856829145297;-0.13472119358799697;1.09451785353901;0.0
EE;TeX;0;2020;18;25;0;0.04005011120752553;1.9256663637293234;0.08752659231129452;-0.13472119358799697;0.9130658924547282;0.0
EE;Thrift;0;2020;18;5;0;0.04005011120752553;2.6122919018145803;0.025101295401694465;-0.13472119358799697;0.9696146556336473;0.0
EE;Twig;0;2020;18;18;0;0.04005011120752553;1.6247120212675266;0.0724026030993643;-0.13472119358799697;0.8588187831148477;0.0
EE;TypeScript;1756;2020;18;70;1;0.04005011120752553;-0.0004271841891666322;0.33907837133306357;-0.13472119358799697;0.0;1.3321767985226636
EE;UnrealScript;0;2020;18;8;0;0.04005011120752553;2.239130334719378;0.03089661510318738;-0.13472119358799697;1.085137608985308;0.0
EE;VBA;0;2020;18;12;0;0.04005011120752553;2.3231060250993902;0.03584062941786697;-0.13472119358799697;1.2625810648967817;0.0
EE;VBScript;0;2020;18;13;0;0.04005011120752553;2.5104211966042573;0.035564763160649916;-0.13472119358799697;1.4135511328484454;0.0
EE;VHDL;0;2020;18;12;0;0.04005011120752553;2.1152086895871993;0.03882484335618774;-0.13472119358799697;1.1494827234613938;0.0
EE;Verilog;0;2020;18;11;0;0.04005011120752553;2.1976453792919792;0.03468988241073491;-0.13472119358799697;1.219684989058115;0.0
EE;Vim Script;0;2020;18;26;0;0.04005011120752553;2.0209879154428774;0.08819754423222242;-0.13472119358799697;0.9528286622594726;0.0
