iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca
AE;Clojure;0.0;1;26;25;0;-0.33436064719796643;2.1251773118913135;0.014819935413394169;-0.37918166818940585;1.265470393111802;0.0
AE;CoffeeScript;0.0;1;26;36;0;-0.33436064719796643;1.5427707432289515;0.0766652886517508;-0.37918166818940585;0.9644496083440672;0.0
AE;Common Lisp;0.0;1;26;18;0;-0.33436064719796643;2.312654114537506;0.0029706976416728516;-0.37918166818940585;1.3827667773575325;0.0
AE;Cuda;0.0;1;26;25;0;-0.33436064719796643;2.0608362966623788;0.020991407675102377;-0.37918166818940585;1.234981704279669;0.0
AE;Cython;0.0;1;26;29;0;-0.33436064719796643;1.984356246063732;0.029447351311433053;-0.37918166818940585;1.1683959006798845;0.0
AE;D;0.0;1;26;14;0;-0.33436064719796643;2.409291128830972;0.0006383691803903476;-0.37918166818940585;1.4071584235385848;0.0
AE;DIGITAL Command Language;0.0;1;26;13;0;-0.33436064719796643;2.429714439484502;0.0003362138182693552;-0.37918166818940585;1.3846627961275664;0.0
AE;DTrace;0.0;1;26;10;0;-0.33436064719796643;2.4938399011543466;0.00038276221487430653;-0.37918166818940585;1.296736659295442;0.0
AE;Dart;12.857304700694954;1;26;51;1;-0.33436064719796643;0.05181618963521856;0.42372197267879114;-0.37918166818940585;0.0;1.9963238600171167
AE;Dockerfile;21.6765185860594;1;26;72;1;-0.33436064719796643;-0.4164351429785101;0.6394157831321092;-0.37918166818940585;0.0;2.059290584477724
AE;EJS;2.2405492482826;1;26;46;0;-0.33436064719796643;0.5681510231290137;0.2938680504894745;-0.37918166818940585;0.22725013661397186;0.8130527136561237
AE;Elixir;0.0;1;26;18;0;-0.33436064719796643;2.245167666670844;0.007575239733625869;-0.37918166818940585;1.35216762431711;0.0
AE;Elm;0.0;1;26;8;0;-0.33436064719796643;2.4924301440976646;0.0;-0.37918166818940585;1.1285946649157896;0.0
AE;Emacs Lisp;0.0;1;26;35;0;-0.33436064719796643;1.8078296616470013;0.052911353157072724;-0.37918166818940585;1.0415184454913964;0.0
AE;Erlang;0.0;1;26;16;0;-0.33436064719796643;2.3772950861161326;0.001223119439691649;-0.37918166818940585;1.4337251901966679;0.0
AE;F#;0.0;1;26;16;0;-0.33436064719796643;2.275230201480879;0.006404718952356584;-0.37918166818940585;1.351788494393067;0.0
AE;Forth;0.0;1;26;13;0;-0.33436064719796643;2.37492880820918;0.0025297965615791464;-0.37918166818940585;1.3285850457285886;0.0
AE;Fortran;0.0;1;26;29;0;-0.33436064719796643;1.949064847318799;0.033568025830769045;-0.37918166818940585;1.1476580158492322;0.0
