iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;year
CZ;Batchfile;1473;1;61;41;1;1.7427979768563386;1.385680991648399;0.6261933552298442;2.042304051638736;0.0;1.4688344653649437;2021
CZ;Beef;0;1;61;1;0;1.7427979768563386;0.8604694356513835;0.024106942481928642;2.042304051638736;-0.01409755020769278;0.0;2021
CZ;Bicep;0;1;61;4;0;1.7427979768563386;2.0351393436732192;0.2838554794360496;2.042304051638736;0.4640069950079975;0.0;2021
CZ;Blade;136;1;61;63;0;1.7427979768563386;-0.6022584861679225;0.4166955870900413;2.042304051638736;-0.6345313394878284;0.4231558859314334;2021
CZ;Brainfuck;0;1;61;7;0;1.7427979768563386;1.7968160698579938;0.2821766335693263;2.042304051638736;0.5730204546921249;0.0;2021
CZ;Brightscript;0;1;61;1;0;1.7427979768563386;0.8604694356513835;0.024106942481928642;2.042304051638736;-0.01409755020769278;0.0;2021
CZ;C;2290;1;61;42;1;1.7427979768563386;1.3840246710673325;0.6168069776663673;2.042304051638736;0.0;1.3415168781528766;2021
CZ;C#;1737;1;61;66;1;1.7427979768563386;0.08555688980079494;0.5716467805321606;2.042304051638736;-0.0;1.2722489268904706;2021
CZ;C++;2251;1;61;35;1;1.7427979768563386;1.4333460992762135;0.6247984325304557;2.042304051638736;0.0;1.2141319098896681;2021
CZ;CMake;1023;1;61;36;1;1.7427979768563386;1.8642905402575294;0.6216978310579417;2.042304051638736;0.0;1.5431221768853385;2021
CZ;CSS;6302;1;61;113;0;1.7427979768563386;-1.2843646932395627;0.33751497847537615;2.042304051638736;-0.7585334614305477;0.7665928836337857;2021
CZ;CUE;0;1;61;5;0;1.7427979768563386;2.611355915831792;0.3119861016960375;2.042304051638736;0.7422471899307524;0.0;2021
CZ;Clojure;109;1;61;23;1;1.7427979768563386;2.189952049145869;0.5502874442273683;2.042304051638736;0.0;1.8654551723473254;2021
CZ;CoffeeScript;0;1;61;19;0;1.7427979768563386;0.9707594680273811;0.41291350707312663;2.042304051638736;0.3365351960296116;0.0;2021
CZ;Common Lisp;0;1;61;17;0;1.7427979768563386;2.3452140762735922;0.465548601054654;2.042304051638736;0.7454716232686712;0.0;2021
CZ;Crystal;0;1;61;6;0;1.7427979768563386;2.0060661043608516;0.2797291115925078;2.042304051638736;0.6453716788042134;0.0;2021
CZ;Cuda;0;1;61;16;0;1.7427979768563386;2.232094321854536;0.4690501549924848;2.042304051638736;0.5959148451582277;0.0;2021
CZ;Cython;0;1;61;22;0;1.7427979768563386;2.255489577566262;0.5338931023802151;2.042304051638736;0.5736573761374866;0.0;2021
CZ;D;0;1;61;12;0;1.7427979768563386;2.4908651717624877;0.40155058878124783;2.042304051638736;0.830812362216118;0.0;2021
CZ;DIGITAL Command Language;0;1;61;12;0;1.7427979768563386;2.4974723224542457;0.38609844203848187;2.042304051638736;0.8681539957854388;0.0;2021
CZ;DTrace;0;1;61;9;0;1.7427979768563386;2.523742066555909;0.3443938382035962;2.042304051638736;0.832739973814612;0.0;2021
CZ;Dart;162;1;61;41;0;1.7427979768563386;-0.905861794371883;0.27928999872680094;2.042304051638736;-0.6074843126362862;0.47222972281848635;2021
CZ;Dockerfile;2792;1;61;46;1;1.7427979768563386;1.063532913642481;0.6108068184502867;2.042304051638736;0.0;1.3368827732725466;2021
CZ;EJS;171;1;61;29;0;1.7427979768563386;0.04602157024049759;0.4337034792520366;2.042304051638736;-0.252533400049514;0.628918792619021;2021
CZ;Elixir;0;1;61;17;0;1.7427979768563386;2.184264696995842;0.46540490796621825;2.042304051638736;0.6711472061426417;0.0;2021
CZ;Emacs Lisp;225;1;61;25;1;1.7427979768563386;2.224802554657009;0.5976694686780564;2.042304051638736;0.0;1.7041541335244668;2021
CZ;Erlang;0;1;61;16;0;1.7427979768563386;2.364046053062935;0.43913714377953017;2.042304051638736;0.7870904586123808;0.0;2021
CZ;F#;0;1;61;13;0;1.7427979768563386;2.3230201511169484;0.4046005867004864;2.042304051638736;0.7710644035872112;0.0;2021
CZ;Forth;0;1;61;12;0;1.7427979768563386;2.2340170563751154;0.3664803997422376;2.042304051638736;0.7664251249846926;0.0;2021
CZ;Fortran;0;1;61;19;0;1.7427979768563386;2.309376359790826;0.5231430543597503;2.042304051638736;0.6015703520120619;0.0;2021
CZ;FreeMarker;137;1;61;13;1;1.7427979768563386;2.29515221958735;0.47383853421051336;2.042304051638736;0.0;2.791083095543695;2021
CZ;G-code;0;1;61;8;0;1.7427979768563386;2.5324848410481806;0.3607695033112025;2.042304051638736;0.7832824841226368;0.0;2021
CZ;GAP;0;1;61;15;0;1.7427979768563386;2.345527289137307;0.4401349520283764;2.042304051638736;0.7560683135877374;0.0;2021
CZ;GDB;118;1;61;20;1;1.7427979768563386;2.391662642820318;0.5192543627100069;2.042304051638736;0.0;2.127903581916579;2021
CZ;GDScript;0;1;61;13;0;1.7427979768563386;2.19684828577333;0.4123880780187612;2.042304051638736;0.7342359561636019;0.0;2021
CZ;GLSL;285;1;61;29;1;1.7427979768563386;2.079377073822943;0.609828194509808;2.042304051638736;0.0;1.6903905190751476;2021
CZ;Game Maker Language;0;1;61;2;0;1.7427979768563386;1.6343892437265757;0.2234721897812017;2.042304051638736;0.4450720428499778;0.0;2021
CZ;Gherkin;179;1;61;33;1;1.7427979768563386;1.3986555799879337;0.6105492504740219;2.042304051638736;0.0;1.235901694826532;2021
CZ;Gnuplot;0;1;61;12;0;1.7427979768563386;2.508242619288514;0.4026096551098795;2.042304051638736;0.8445742311836051;0.0;2021
CZ;Go;756;1;61;30;1;1.7427979768563386;1.3628285106832287;0.5990054457710744;2.042304051638736;0.0;1.072516195254549;2021
CZ;Groovy;371;1;61;29;1;1.7427979768563386;2.016704822231614;0.6136601723161236;2.042304051638736;0.0;2.592596039259974;2021
CZ;HCL;223;1;61;22;1;1.7427979768563386;2.0258075186249767;0.5793664296463983;2.042304051638736;0.0;1.2314667630783045;2021
CZ;HLSL;131;1;61;35;0;1.7427979768563386;1.350425295442827;0.5788361107993375;2.042304051638736;0.11574433209470161;0.7480348179518292;2021
CZ;HTML;8361;1;61;120;0;1.7427979768563386;-1.279369358314865;0.33429394812680124;2.042304051638736;-0.7540763037602678;0.7662622986486978;2021
CZ;Hack;284;1;61;54;0;1.7427979768563386;-0.5423409481903333;0.4037639726707469;2.042304051638736;-0.5978614813572601;0.7409088840297486;2021
CZ;Haml;0;1;61;7;0;1.7427979768563386;2.5436416187453688;0.3257137126982803;2.042304051638736;0.7943010965664937;0.0;2021
CZ;Handlebars;213;1;61;27;0;1.7427979768563386;0.6097963008101901;0.494048585579863;2.042304051638736;-0.030116361009548568;0.9895763412384228;2021
CZ;Haskell;149;1;61;26;1;1.7427979768563386;2.144181005316312;0.5914715509638522;2.042304051638736;0.0;1.997174738978349;2021
CZ;IDL;0;1;61;1;0;1.7427979768563386;2.619466184161545;0.1941021200776727;2.042304051638736;0.6419662873543329;0.0;2021
CZ;Inno Setup;0;1;61;14;0;1.7427979768563386;2.480719436505711;0.42007730799178383;2.042304051638736;0.8400191038866953;0.0;2021
CZ;Java;2441;1;61;65;0;1.7427979768563386;-0.4495339740673707;0.49670423694991767;2.042304051638736;-0.48671732518815536;0.7627233337091928;2021
CZ;JavaScript;7427;1;61;117;0;1.7427979768563386;-1.2207496843201164;0.3400051689975017;2.042304051638736;-0.7658183359054536;0.8092186264027869;2021
CZ;Jinja;263;1;61;25;1;1.7427979768563386;2.1595318988506493;0.6039608097809184;2.042304051638736;0.0;2.087214313010096;2021
CZ;Julia;0;1;61;13;0;1.7427979768563386;2.4551442009032667;0.4391218421139799;2.042304051638736;0.7659572574206943;0.0;2021
CZ;Jupyter Notebook;671;1;61;23;0;1.7427979768563386;0.5042518347224751;0.49510473897857404;2.042304051638736;0.00317646803901558;0.46599176011527443;2021
CZ;Kotlin;624;1;61;63;0;1.7427979768563386;-0.5032001175396208;0.4258141763676426;2.042304051638736;-0.6633216407395222;0.8950390976420756;2021
CZ;LLVM;0;1;61;10;0;1.7427979768563386;2.521599273166046;0.36656458490573435;2.042304051638736;0.827646287275626;0.0;2021
CZ;LOLCODE;0;1;61;1;0;1.7427979768563386;0.8604694356513835;0.024106942481928642;2.042304051638736;-0.01409755020769278;0.0;2021
CZ;Less;442;1;61;42;1;1.7427979768563386;-0.30106325818216906;0.48785677278356365;2.042304051638736;-0.0;1.015794586490116;2021
CZ;Lex;192;1;61;27;1;1.7427979768563386;2.2052968376213067;0.6049364091276899;2.042304051638736;0.0;2.0790027532116295;2021
CZ;Lua;468;1;61;33;1;1.7427979768563386;1.758655485452141;0.625001754102858;2.042304051638736;0.0;1.6777421685057823;2021
CZ;M;0;1;61;14;0;1.7427979768563386;2.2612947673839296;0.40639549188317237;2.042304051638736;0.7531206340130204;0.0;2021
CZ;M4;455;1;61;29;1;1.7427979768563386;2.1738187599377996;0.6098958469516047;2.042304051638736;0.0;2.4903896672649357;2021
CZ;MATLAB;179;1;61;26;0;1.7427979768563386;1.8670491590454363;0.5839202035249873;2.042304051638736;0.3416713647123983;0.8921182780017998;2021
CZ;Makefile;2824;1;61;41;1;1.7427979768563386;1.5674698286952362;0.6223773112316767;2.042304051638736;0.0;1.6811282407126653;2021
CZ;Mako;110;1;61;24;1;1.7427979768563386;1.4777185912340356;0.5381485343135682;2.042304051638736;0.0;1.97571518168041;2021
CZ;Mathematica;0;1;61;16;0;1.7427979768563386;2.2830189398895677;0.4439118639473756;2.042304051638736;0.7280986282929663;0.0;2021
CZ;Meson;113;1;61;15;1;1.7427979768563386;2.4687882929420533;0.46494039839798634;2.042304051638736;0.0;3.65473688537414;2021
CZ;Mustache;174;1;61;31;1;1.7427979768563386;1.9827388536731325;0.6208805345627111;2.042304051638736;0.0;1.6607643040421785;2021
CZ;NASL;109;1;61;18;1;1.7427979768563386;2.4336868891363066;0.48629641022505854;2.042304051638736;0.0;2.4752825748777645;2021
CZ;NCL;0;1;61;1;0;1.7427979768563386;2.619466184161545;0.1941021200776727;2.042304051638736;0.6419662873543329;0.0;2021
