iso2_code;cluster_id;exit01;consider00;pci;ubiquity;rca01;density
AT;21.0;0;1;-0.6022948079582562;79.0;1.0;0.5299701235737975
AT;24.0;0;1;1.4298958491314566;40.0;1.0;0.6922063969133123
AT;26.0;0;1;1.4631831505099593;37.0;1.0;0.6816938777036189
AT;27.0;0;1;1.1628686697451447;39.0;1.0;0.6784102868655125
AT;28.0;0;1;1.9259977411386708;28.0;1.0;0.6235139002593537
AT;29.0;0;1;1.8636303512102144;31.0;1.0;0.675184317317121
AT;33.0;0;1;2.0369102602569615;27.0;1.0;0.6420250347605568
AT;34.0;0;1;1.8229487376342035;33.0;1.0;0.6833901809351989
AT;39.0;0;1;1.7491188857965394;31.0;1.0;0.6753716458913241
AT;41.0;0;1;1.7318867513913807;36.0;1.0;0.6801624782638097
AT;42.0;0;1;1.7024775051477614;33.0;1.0;0.6888868878573369
AT;43.0;0;1;2.0510470006348864;24.0;1.0;0.6315714204114109
AT;45.0;0;1;1.760995826961374;32.0;1.0;0.6753838321949949
AT;46.0;0;1;2.057657732888033;17.0;1.0;0.5039155144880465
AT;50.0;0;1;1.3862523463271288;30.0;1.0;0.6109983491255028
AT;54.0;1;0;1.0289466672147716;42.0;0.0;0.6944282529050475
AT;57.0;0;1;1.449350971118556;22.0;1.0;0.5702976955606103
AU;3.0;0;1;1.4108308443018556;38.0;1.0;0.7703856885804516
AU;4.0;0;1;1.5486534289849945;32.0;1.0;0.7597120671606933
AU;7.0;0;1;1.9386150162506528;27.0;1.0;0.7976586244785462
AU;9.0;0;1;1.6229599702141266;36.0;1.0;0.7741814721881854
AU;11.0;0;1;-0.4593823573642202;70.0;1.0;0.6770436019216679
AU;12.0;0;1;1.8350581991636397;24.0;1.0;0.8116463611744575
AU;13.0;0;1;2.1617820457182293;14.0;1.0;0.7833816166729872
AU;14.0;0;1;1.8929594941972712;30.0;1.0;0.7921328092576252
AU;16.0;0;1;1.6264851572309549;31.0;1.0;0.7940371156167921
AU;20.0;0;1;1.6938870086519855;27.0;1.0;0.7850129676209646
AU;21.0;0;1;-0.6022948079582562;79.0;1.0;0.4865993150577782
AU;22.0;0;1;1.8127917131459672;26.0;1.0;0.7745402751835853
AU;24.0;0;1;1.4298958491314566;40.0;1.0;0.7690581360765132
AU;26.0;0;1;1.4631831505099593;37.0;1.0;0.7713730883567793
AU;27.0;0;1;1.1628686697451447;39.0;1.0;0.7586111064556459
AU;28.0;0;1;1.9259977411386708;28.0;1.0;0.7979470984427327
AU;29.0;0;1;1.8636303512102144;31.0;1.0;0.8030106012341236
AU;30.0;0;1;2.3540840402260086;9.0;1.0;0.7971684904836867
AU;32.0;0;1;2.055984083255801;23.0;1.0;0.7988185851661225
AU;33.0;0;1;2.0369102602569615;27.0;1.0;0.8026899156427343
AU;34.0;0;1;1.8229487376342035;33.0;1.0;0.7994349233892297
AU;35.0;0;1;2.1412832840966773;19.0;1.0;0.7838990892203813
AU;36.0;0;1;1.989139957713472;20.0;1.0;0.7869138680544033
AU;39.0;0;1;1.7491188857965394;31.0;1.0;0.79442365019653
AU;41.0;0;1;1.7318867513913807;36.0;1.0;0.7822639447684834
AU;42.0;0;1;1.7024775051477614;33.0;1.0;0.7917636111975053
AU;43.0;0;1;2.0510470006348864;24.0;1.0;0.8111557470928404
AU;44.0;0;1;1.9913303742576696;20.0;1.0;0.7857808245867328
AU;45.0;0;1;1.760995826961374;32.0;1.0;0.8004281803102333
AU;46.0;0;1;2.057657732888033;17.0;1.0;0.7891977466818715
AU;47.0;0;1;2.1575835642704217;15.0;1.0;0.7718231275259787
AU;50.0;0;1;1.3862523463271288;30.0;1.0;0.7416451409168732
AU;52.0;0;1;2.105844263934367;19.0;1.0;0.7998108018011568
AU;53.0;0;1;2.304074640670618;13.0;1.0;0.7876986029612252
AU;55.0;0;1;2.1836144599760616;16.0;1.0;0.7808002551390569
AU;56.0;0;1;2.169925928745079;14.0;1.0;0.7810745837017017
AU;59.0;0;1;1.7902655150686788;23.0;1.0;0.7870245153203874
AZ;1.0;0;1;-1.5310079173161562;85.0;1.0;0.5271779948388311
AZ;8.0;0;1;-0.6974731199781783;89.0;1.0;0.414396887159533
AZ;18.0;0;1;-0.0693373471202559;78.0;1.0;0.2995590773172542
AZ;19.0;0;1;-0.609234573418944;79.0;1.0;0.3990255184626466
AZ;25.0;0;1;-0.6963174199001649;88.0;1.0;0.4556990257072426
BA;1.0;0;1;-1.5310079173161562;85.0;1.0;0.4887111198426682
BA;8.0;0;1;-0.6974731199781783;89.0;1.0;0.404669260700389
BA;18.0;0;1;-0.0693373471202559;78.0;1.0;0.3071955347723967
BA;19.0;0;1;-0.609234573418944;79.0;1.0;0.3904707215724352
BA;25.0;0;1;-0.6963174199001649;88.0;1.0;0.4358492780842822
BD;1.0;0;1;-1.5310079173161562;85.0;1.0;0.5031361979662293
BD;8.0;0;1;-0.6974731199781783;89.0;1.0;0.4046692607003891
