iso2_code;language;exit01;consider00;pci;ubiquity;rca01;density
AT;ShaderLab;0;1;1.3220172511797768;33.0;1.0;0.5409544318019976
AT;Shell;0;1;-0.2362835280042434;76.0;1.0;0.5472467337188882
AT;Smalltalk;0;1;2.0143853326850647;26.0;1.0;0.5131663017632728
AT;Smarty;0;1;1.933559611183388;30.0;1.0;0.579352879971753
AT;Tcl;0;1;2.174695797488847;26.0;1.0;0.537033559865767
AT;TeX;0;1;1.6312304894969374;28.0;1.0;0.5719907690066276
AT;Twig;0;1;1.5970923839089244;21.0;1.0;0.4723332251914369
AT;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.5356223592531457
AT;Vim Script;0;1;1.9663895014720945;27.0;1.0;0.5632256439586325
AT;XSLT;0;1;1.7267384888454036;31.0;1.0;0.5815234127475648
AT;Yacc;0;1;1.990594563386276;27.0;1.0;0.5545209299119502
AT;sed;0;1;2.363490792628528;22.0;1.0;0.4685142724161886
AU;ANTLR;0;1;2.3351594763290353;17.0;1.0;0.7504075319802144
AU;ASP.NET;0;1;0.2839207989057119;38.0;1.0;0.6554552993382252
AU;AppleScript;0;1;2.5933044279988047;9.0;1.0;0.7011489434905024
AU;Assembly;0;1;1.9556408637492584;32.0;1.0;0.7833335604033447
AU;AutoHotkey;0;1;2.5988168285225486;10.0;1.0;0.7199872816418482
AU;Awk;0;1;2.168861430987413;27.0;1.0;0.7870785601919359
AU;Batchfile;0;1;1.7471843555744355;36.0;1.0;0.7784782620320807
AU;C;1;0;1.5037980944476748;37.0;0.0;0.7682364700896539
AU;C#;0;1;0.0188258694979645;68.0;1.0;0.6517282789543961
AU;Clojure;0;1;2.275876532939631;20.0;1.0;0.7758841813455896
AU;CoffeeScript;0;1;0.6610298139241809;19.0;1.0;0.7206945130208575
AU;Common Lisp;0;1;2.420562223771302;15.0;1.0;0.7411204696776215
AU;DIGITAL Command Language;0;1;2.39867568964418;14.0;1.0;0.7319270132347888
AU;Dockerfile;0;1;0.9560592557597312;45.0;1.0;0.7674997764617967
AU;Elixir;0;1;2.1668589415075346;19.0;1.0;0.7531496939370426
AU;Emacs Lisp;0;1;2.1604705838838676;22.0;1.0;0.7998577681438436
AU;Erlang;0;1;2.279425334414259;15.0;1.0;0.7313842374210946
AU;F#;0;1;2.371033399129258;14.0;1.0;0.7293698222728399
AU;Fortran;0;1;2.3616685362206193;16.0;1.0;0.7896484144027588
AU;G-code;0;1;2.628738504891218;8.0;1.0;0.6970673830255828
AU;GAP;0;1;2.544699559515083;13.0;1.0;0.7373565538720929
AU;GDB;0;1;2.435503368519559;18.0;1.0;0.7599721929911033
AU;GLSL;0;1;1.9639052813494415;29.0;1.0;0.7958016254163005
AU;Gherkin;0;1;1.6722234608574271;27.0;1.0;0.7735458347445849
AU;Gnuplot;0;1;2.5649702091532554;12.0;1.0;0.7500766650671813
AU;Go;0;1;1.2800234940898836;26.0;1.0;0.7617050463291537
AU;Groovy;0;1;2.0436612163259795;28.0;1.0;0.7776297686523418
AU;HCL;0;1;2.0771461379908005;23.0;1.0;0.7864884856744534
AU;HLSL;0;1;1.4017091273836253;36.0;1.0;0.7576338118383026
AU;Haskell;0;1;1.9623878374578083;27.0;1.0;0.7801432025017669
AU;Inno Setup;0;1;2.571860598801348;12.0;1.0;0.7389620509710343
AU;Julia;0;1;2.226256665007464;17.0;1.0;0.7628902042241041
AU;Lua;0;1;1.9072598826057532;29.0;1.0;0.7894247382151838
AU;M;0;1;2.326649194097691;14.0;1.0;0.7455116317454641
AU;M4;0;1;2.1327493259295696;30.0;1.0;0.7869386254558908
AU;MATLAB;0;1;1.8530413457853512;25.0;1.0;0.7910571514717856
AU;Makefile;0;1;1.551307474226617;38.0;1.0;0.7826247279597095
AU;Mako;0;1;1.8277957896641703;21.0;1.0;0.7655829767438671
AU;Mathematica;0;1;2.528754797897797;13.0;1.0;0.7587690710868786
AU;Meson;0;1;2.452402359792819;15.0;1.0;0.7580649228814026
AU;NASL;0;1;2.535195375999348;15.0;1.0;0.7396768379311259
AU;NSIS;0;1;2.4458931066709466;18.0;1.0;0.7712992399222095
AU;Nix;0;1;2.495984673930068;14.0;1.0;0.7683791342688444
AU;Objective-C++;0;1;2.2410450572770495;26.0;1.0;0.7878206967905412
AU;PLpgSQL;0;1;1.887381337592136;32.0;1.0;0.7819076134708178
AU;Pascal;0;1;2.1532211624772746;21.0;1.0;0.7770635516296351
AU;Perl;0;1;1.8776731320574271;30.0;1.0;0.7917444643246476
AU;PowerShell;0;1;0.9807277362742748;37.0;1.0;0.7566251874890845
AU;Prolog;0;1;2.138726344171145;18.0;1.0;0.756196255573296
AU;Python;0;1;-0.0611221261375305;55.0;1.0;0.6996952098849261
AU;R;0;1;1.112133702992122;31.0;1.0;0.7832440829115559
AU;Raku;0;1;2.411866432451315;20.0;1.0;0.7722513937999411
AU;Roff;0;1;2.0574269918365893;29.0;1.0;0.7917372867561165
AU;Ruby;0;1;-0.8068791632433246;56.0;1.0;0.5645238774786129
AU;Rust;0;1;2.0653136539712804;25.0;1.0;0.7976187155559207
AU;SWIG;0;1;2.557640787287122;12.0;1.0;0.7256543619677347
AU;Sass;0;1;1.316775834063194;30.0;1.0;0.7538089968427673
AU;Scheme;0;1;2.377538820927493;15.0;1.0;0.7584749674045527
AU;ShaderLab;0;1;1.3220172511797768;33.0;1.0;0.7545525908031422
AU;Shell;0;1;-0.2362835280042434;76.0;1.0;0.7133880986226604
AU;Smalltalk;0;1;2.0143853326850647;26.0;1.0;0.781846976212129
AU;Smarty;0;1;1.933559611183388;30.0;1.0;0.7909295196241206
AU;Svelte;0;1;2.248974685129331;17.0;1.0;0.7510486204849287
AU;Tcl;0;1;2.174695797488847;26.0;1.0;0.7849488313076559
AU;TeX;0;1;1.6312304894969374;28.0;1.0;0.7983419722474557
AU;TypeScript;0;1;-0.1330371242451686;75.0;1.0;0.6245670616727533
AU;VBScript;0;1;2.391287528059463;15.0;1.0;0.7121012996715632
AU;Vim Script;0;1;1.9663895014720945;27.0;1.0;0.7977862941660864
AU;Vim Snippet;0;1;2.448654399495916;14.0;1.0;0.7314665638225671
