iso2_code;language;entry01;consider00;pci;rca01;rel_density;group
AU;Verilog;0;1;2.315797841797345;0.0;0.0;Specialized_Research
AU;Vue;0;1;-0.4418823319842377;0.0;0.0;Web_Application_Development
AZ;Batchfile;0;1;1.6004806766069903;0.0;0.0;Systems_Low_Level_Programming
AZ;C;0;1;1.4730524150422353;0.0;0.0;Systems_Low_Level_Programming
AZ;C++;0;1;1.3675251369112325;0.0;0.0;Systems_Low_Level_Programming
AZ;CMake;0;1;1.9028597668539395;0.0;0.0;Systems_Low_Level_Programming
AZ;Dart;1;0;-0.7976656432256345;0.0;0.5;Web_Application_Development
AZ;Dockerfile;0;1;1.1991486271179028;0.0;0.0;Web_Application_Development
AZ;Java;1;0;-0.3891230669290839;0.0;0.0;Web_Application_Development
AZ;Jupyter Notebook;0;1;0.8471960848148669;0.0;0.0;Systems_Low_Level_Programming
AZ;Makefile;0;1;1.5834986395889008;0.0;0.0;Systems_Low_Level_Programming
AZ;Objective-C;1;0;-0.1211810078807393;0.0;1.0;Web_Application_Development
AZ;PowerShell;0;1;1.1647595522522798;0.0;0.0;Systems_Low_Level_Programming
AZ;Python;0;1;0.1363314420870244;0.0;0.0;Web_Application_Development
AZ;Ruby;0;1;-0.5314756702149157;0.0;1.0;Web_Application_Development
AZ;Shell;0;1;-0.1879113331490978;0.0;0.0;Web_Application_Development
AZ;TypeScript;0;1;-0.1358873002691524;0.0;0.4;Web_Application_Development
BA;C;0;1;1.4730524150422353;0.0;0.0;Systems_Low_Level_Programming
BA;C++;1;0;1.3675251369112325;0.0;0.0;Systems_Low_Level_Programming
BA;CMake;1;0;1.9028597668539395;0.0;0.0;Systems_Low_Level_Programming
BA;Dart;1;0;-0.7976656432256345;0.0;0.0;Web_Application_Development
BA;Dockerfile;1;0;1.1991486271179028;0.0;0.3333333333333333;Web_Application_Development
BA;Makefile;0;1;1.5834986395889008;0.0;0.0;Systems_Low_Level_Programming
BA;Python;0;1;0.1363314420870244;0.0;0.0;Web_Application_Development
BA;Ruby;0;1;-0.5314756702149157;0.0;0.0;Web_Application_Development
BA;Shell;0;1;-0.1879113331490978;0.0;0.0;Web_Application_Development
BA;Swift;1;0;-0.5406199683576705;0.0;0.6;Web_Application_Development
BD;Assembly;0;1;1.9304043185725763;0.0;0.0;Systems_Low_Level_Programming
BD;Batchfile;0;1;1.6004806766069903;0.0;0.0;Systems_Low_Level_Programming
BD;C;1;0;1.4730524150422353;0.0;0.3333333333333333;Systems_Low_Level_Programming
BD;C#;0;1;0.1092491023100002;0.0;0.0;Web_Application_Development
BD;CMake;0;1;1.9028597668539395;0.0;0.0;Systems_Low_Level_Programming
BD;Dockerfile;0;1;1.1991486271179028;0.0;0.0;Web_Application_Development
BD;Gherkin;0;1;1.7095135076278267;0.0;0.0;Systems_Low_Level_Programming
BD;Go;0;1;1.4738099718038895;0.0;0.0;Systems_Low_Level_Programming
BD;Handlebars;0;1;0.6221021671307083;0.0;0.0;Machine_Learning_Embedded_Systems
BD;Java;0;1;-0.3891230669290839;0.0;0.0;Web_Application_Development
BD;Jupyter Notebook;0;1;0.8471960848148669;0.0;0.0;Systems_Low_Level_Programming
BD;Lex;0;1;2.162599197003903;0.0;0.0;Machine_Learning_Embedded_Systems
BD;Lua;0;1;1.9550329273939944;0.0;0.0;Systems_Low_Level_Programming
BD;MATLAB;0;1;1.855917839473117;0.0;0.0;Systems_Low_Level_Programming
BD;Makefile;0;1;1.5834986395889008;0.0;0.0;Systems_Low_Level_Programming
BD;Nix;0;1;2.3741654386224957;0.0;0.0;Specialized_Research
BD;Objective-C++;0;1;2.164512377073528;0.0;0.0;Machine_Learning_Embedded_Systems
BD;Perl;0;1;2.031189638455968;0.0;0.0;Systems_Low_Level_Programming
BD;PowerShell;0;1;1.1647595522522798;0.0;0.0;Systems_Low_Level_Programming
BD;Pug;0;1;0.6522318478058452;0.0;0.0;Systems_Low_Level_Programming
BD;Python;0;1;0.1363314420870244;0.0;0.0;Web_Application_Development
BD;R;0;1;1.7766913381020473;0.0;0.0;Systems_Low_Level_Programming
BD;Roff;0;1;2.0836874965079284;0.0;0.0;Systems_Low_Level_Programming
BD;Ruby;0;1;-0.5314756702149157;0.0;1.0;Web_Application_Development
BD;Rust;0;1;2.2186114515487616;0.0;0.0;Systems_Low_Level_Programming
BD;Sass;0;1;1.628693523048407;0.0;0.0;Machine_Learning_Embedded_Systems
BD;Shell;0;1;-0.1879113331490978;0.0;0.0;Web_Application_Development
BD;Smarty;0;1;2.1071504574071995;0.0;0.0;Systems_Low_Level_Programming
BD;Solidity;0;1;1.0639740202511807;0.0;0.0;Specialized_Research
BD;Starlark;0;1;0.711259233895176;0.0;0.0;Systems_Low_Level_Programming
BD;Svelte;0;1;2.1181169498981736;0.0;0.0;Specialized_Research
BD;TSQL;0;1;0.0590910475450916;0.0;0.5;Web_Application_Development
BD;TeX;0;1;1.9167178235943527;0.0;0.0;Systems_Low_Level_Programming
BD;TypeScript;0;1;-0.1358873002691524;0.0;0.2;Web_Application_Development
BD;Vim Script;0;1;2.0931337884611425;0.0;0.0;Systems_Low_Level_Programming
BD;XSLT;0;1;2.055318290279643;0.0;0.0;Systems_Low_Level_Programming
BD;Yacc;0;1;2.119012304204972;0.0;0.0;Machine_Learning_Embedded_Systems
BE;C++;0;1;1.3675251369112325;0.0;1.0;Systems_Low_Level_Programming
BE;CSS;0;1;-1.20367871426175;0.0;0.3333333333333333;Web_Application_Development
BE;Common Lisp;1;0;2.5516496684968644;0.0;0.3333333333333333;Specialized_Research
BE;Dart;0;1;-0.7976656432256345;0.0;0.0;Web_Application_Development
BE;EJS;0;1;0.3166911040950276;0.0;;
BE;Go;0;1;1.4738099718038895;0.0;1.0;Systems_Low_Level_Programming
BE;HTML;0;1;-1.232076495332091;0.0;0.0;Web_Application_Development
BE;Java;0;1;-0.3891230669290839;0.0;1.0;Web_Application_Development
BE;JavaScript;0;1;-1.09047363446772;0.0;0.0;Web_Application_Development
BE;Jupyter Notebook;0;1;0.8471960848148669;0.0;1.0;Systems_Low_Level_Programming
BE;Kotlin;0;1;-0.4284113684731045;0.0;0.0;Web_Application_Development
BE;Less;0;1;-0.2804520567789592;0.0;1.0;Web_Application_Development
BE;Lex;0;1;2.162599197003903;0.0;1.0;Machine_Learning_Embedded_Systems
BE;Objective-C;0;1;-0.1211810078807393;0.0;0.0;Web_Application_Development
BE;Objective-C++;0;1;2.164512377073528;0.0;0.8;Machine_Learning_Embedded_Systems
BE;ShaderLab;0;1;1.49212159379223;0.0;1.0;Systems_Low_Level_Programming
BE;Smalltalk;0;1;2.069111140974577;0.0;0.5;Machine_Learning_Embedded_Systems
BE;Solidity;0;1;1.0639740202511807;0.0;0.0;Specialized_Research
BE;Starlark;0;1;0.711259233895176;0.0;1.0;Systems_Low_Level_Programming
BE;Swift;0;1;-0.5406199683576705;0.0;0.4;Web_Application_Development
BF;Python;1;0;0.1363314420870244;0.0;1.0;Web_Application_Development
BG;Assembly;0;1;1.9304043185725763;0.0;0.2727272727272727;Systems_Low_Level_Programming
BG;Blade;0;1;-0.6078683399769346;0.0;0.3333333333333333;Web_Application_Development
BG;C;0;1;1.4730524150422353;0.0;0.3333333333333333;Systems_Low_Level_Programming
BG;CMake;0;1;1.9028597668539395;0.0;0.2857142857142857;Systems_Low_Level_Programming
BG;Dart;0;1;-0.7976656432256345;0.0;0.5;Web_Application_Development
BG;EJS;0;1;0.3166911040950276;0.0;;
BG;GLSL;0;1;2.1554527348539927;0.0;0.3846153846153846;Systems_Low_Level_Programming
BG;HLSL;0;1;1.6356441392169607;0.0;0.0;Systems_Low_Level_Programming
BG;Hack;0;1;-0.4379082719680418;0.0;0.5;Web_Application_Development
BG;Jupyter Notebook;0;1;0.8471960848148669;0.0;0.0;Systems_Low_Level_Programming
BG;Kotlin;0;1;-0.4284113684731045;0.0;0.0;Web_Application_Development
BG;Makefile;0;1;1.5834986395889008;0.0;0.5;Systems_Low_Level_Programming
BG;Objective-C;0;1;-0.1211810078807393;0.0;0.0;Web_Application_Development
BG;Perl;0;1;2.031189638455968;0.0;0.4166666666666667;Systems_Low_Level_Programming
BG;Python;0;1;0.1363314420870244;0.0;0.0;Web_Application_Development
BG;Roff;0;1;2.0836874965079284;0.0;0.3571428571428571;Systems_Low_Level_Programming
BG;Ruby;0;1;-0.5314756702149157;0.0;0.0;Web_Application_Development
BG;ShaderLab;0;1;1.49212159379223;0.0;0.0;Systems_Low_Level_Programming
BG;Shell;0;1;-0.1879113331490978;0.0;0.5;Web_Application_Development
BG;Swift;0;1;-0.5406199683576705;0.0;0.0;Web_Application_Development
BG;Vue;0;1;-0.4418823319842377;0.0;0.0;Web_Application_Development
BJ;Python;1;0;0.1363314420870244;0.0;1.0;Web_Application_Development
BJ;TypeScript;1;0;-0.1358873002691524;0.0;0.2;Web_Application_Development
BO;Batchfile;0;1;1.6004806766069903;0.0;0.0;Systems_Low_Level_Programming
BO;C;0;1;1.4730524150422353;0.0;0.0;Systems_Low_Level_Programming
BO;C++;0;1;1.3675251369112325;0.0;0.0;Systems_Low_Level_Programming
BO;CMake;1;0;1.9028597668539395;0.0;0.0;Systems_Low_Level_Programming
BO;Dockerfile;0;1;1.1991486271179028;0.0;0.3333333333333333;Web_Application_Development
BO;Jupyter Notebook;0;1;0.8471960848148669;0.0;0.0;Systems_Low_Level_Programming
BO;Makefile;0;1;1.5834986395889008;0.0;0.0;Systems_Low_Level_Programming
BO;Python;0;1;0.1363314420870244;0.0;0.0;Web_Application_Development
BO;Ruby;0;1;-0.5314756702149157;0.0;1.0;Web_Application_Development
BO;Shell;0;1;-0.1879113331490978;0.0;0.0;Web_Application_Development
BR;AIDL;0;1;1.964787430972048;0.0;;
BR;AMPL;0;1;2.611604059629886;0.0;0.1666666666666666;Scripting_Automation
BR;ANTLR;0;1;2.417485234181545;0.0;0.5;Specialized_Research
BR;ASP.NET;0;1;0.0772131631573183;0.0;1.0;Web_Application_Development
BR;AppleScript;0;1;2.558977190232079;0.0;0.0;Specialized_Research
BR;Assembly;0;1;1.9304043185725763;0.0;0.0;Systems_Low_Level_Programming
BR;AutoHotkey;0;1;2.5864138416566784;0.0;0.0;Specialized_Research
