year;iso2_code;language;num_pushers;e_p;e_c;e;rca;rca01;entry01
2022;OM;AutoHotkey;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Awk;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Awk;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Batchfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Batchfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Blade;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Blade;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Brainfuck;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Brainfuck;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;C;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;C;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;C#;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;C#;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;C++;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;C++;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;CMake;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;CMake;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;CSS;1788.0;12433138.0;8319.0;112428608.0;1.9435354641160734;1.0;1
2022;OM;CSS;1480.0;10388464.0;6613.0;91185560.0;1.964436175515612;1.0;0
2020;OM;Clojure;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Clojure;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;CoffeeScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;CoffeeScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Common Lisp;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Common Lisp;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Cuda;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Cuda;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Cython;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Cython;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;D;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;D;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;DIGITAL Command Language;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;DIGITAL Command Language;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;DTrace;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;DTrace;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Dart;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Dart;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Dockerfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Dockerfile;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;EJS;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;EJS;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Elixir;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Elixir;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Elm;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Elm;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Emacs Lisp;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Emacs Lisp;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Erlang;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Erlang;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;F#;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;F#;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Forth;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Forth;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Fortran;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Fortran;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;FreeMarker;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;FreeMarker;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;G-code;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;G-code;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;GAP;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;GAP;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;GDB;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;GDB;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;GDScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;GDScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;GLSL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;GLSL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Gherkin;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Gherkin;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Gnuplot;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Gnuplot;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Go;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Go;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Groovy;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Groovy;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;HCL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;HCL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;HLSL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;HLSL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;HTML;2681.0;16417570.0;8319.0;112428608.0;2.2069558571498256;1.0;1
2022;OM;HTML;1860.0;12905543.0;6613.0;91185560.0;1.9873035526826146;1.0;0
2020;OM;Hack;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Hack;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Haml;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Haml;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Handlebars;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Handlebars;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Haskell;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Haskell;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Inno Setup;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Inno Setup;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Java;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Java;249.0;3579275.0;6613.0;91185560.0;0.9592500421289383;0.0;0
2020;OM;JavaScript;1796.0;13543711.0;8319.0;112428608.0;1.7921500288142083;1.0;1
2022;OM;JavaScript;1477.0;11157538.0;6613.0;91185560.0;1.825322753756048;1.0;0
2020;OM;Jinja;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Jinja;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Julia;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Julia;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Jupyter Notebook;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Jupyter Notebook;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Kotlin;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Kotlin;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;LLVM;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;LLVM;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Less;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Less;0.0;0.0;0.0;0.0;0.0;0.0;0
