iso2_code;language;num_pushers;year;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;window
MG;Sass;0;2020;7;23;0;-0.7470447966080817;1.6294352450812455;0.01666383506116344;-0.7119154473010021;0.796326782258533;0.0;2020-2021
MG;Scala;0;2020;7;28;0;-0.7470447966080817;2.121704582377578;0.013104337065914315;-0.7119154473010021;0.9794539189908689;0.0;2020-2021
MG;Scheme;0;2020;7;15;0;-0.7470447966080817;2.4419141563827638;0.006105995884676423;-0.7119154473010021;1.2850305658243104;0.0;2020-2021
MG;Scilab;0;2020;7;9;0;-0.7470447966080817;2.495428419387689;0.0034346006221158873;-0.7119154473010021;1.2785211626810369;0.0;2020-2021
MG;ShaderLab;0;2020;7;30;0;-0.7470447966080817;1.4924045573989229;0.0217424710831632;-0.7119154473010021;0.6470988807710888;0.0;2020-2021
MG;Shell;1451;2020;7;87;1;-0.7470447966080817;-0.1876512549365697;0.14362621738614129;-0.7119154473010021;0.0;1.300594436352602;2020-2021
MG;SmPL;0;2020;7;13;0;-0.7470447966080817;2.2306318469686346;0.00556837304079414;-0.7119154473010021;1.1443111839820683;0.0;2020-2021
MG;Smalltalk;0;2020;7;21;0;-0.7470447966080817;2.0705845239409117;0.009904862387418065;-0.7119154473010021;1.0779532034883348;0.0;2020-2021
MG;Smarty;0;2020;7;27;0;-0.7470447966080817;2.1069709524096027;0.013156145944071577;-0.7119154473010021;0.9846370775851734;0.0;2020-2021
MG;Solidity;0;2020;7;24;0;-0.7470447966080817;1.06305202121904;0.01996687025450978;-0.7119154473010021;0.5153551490670161;0.0;2020-2021
MG;SourcePawn;0;2020;7;8;0;-0.7470447966080817;2.5830430377688858;0.0027297257933209186;-0.7119154473010021;1.2330221674595458;0.0;2020-2021
MG;Standard ML;0;2020;7;10;0;-0.7470447966080817;2.4165503515535303;0.003878292126607884;-0.7119154473010021;1.180856643324375;0.0;2020-2021
MG;Starlark;0;2020;7;19;0;-0.7470447966080817;0.7087628227352586;0.026233923650261594;-0.7119154473010021;0.20791401955768074;0.0;2020-2021
MG;Stata;0;2020;7;6;0;-0.7470447966080817;2.306724761743348;0.0034089218999262304;-0.7119154473010021;0.9655758466878204;0.0;2020-2021
MG;Stylus;0;2020;7;8;0;-0.7470447966080817;1.6132160979840107;0.008835146543622493;-0.7119154473010021;0.44565836140499565;0.0;2020-2021
MG;Svelte;0;2020;7;18;0;-0.7470447966080817;2.119710170901272;0.008347248784436646;-0.7119154473010021;1.119704369663207;0.0;2020-2021
MG;Swift;0;2020;7;47;0;-0.7470447966080817;-0.5413603140090667;0.1213587629897132;-0.7119154473010021;-0.3725727196951256;0.0;2020-2021
MG;SystemVerilog;0;2020;7;7;0;-0.7470447966080817;2.6037939770301057;0.002543872655709092;-0.7119154473010021;1.1517169769842992;0.0;2020-2021
MG;TSQL;0;2020;7;41;0;-0.7470447966080817;0.059269730596354896;0.085575432795257;-0.7119154473010021;-0.03291620199880245;0.0;2020-2021
MG;Tcl;0;2020;7;23;0;-0.7470447966080817;2.249729774719582;0.009526403272824537;-0.7119154473010021;1.0803595503580463;0.0;2020-2021
MG;TeX;0;2020;7;26;0;-0.7470447966080817;1.9165274862140178;0.015146076490912984;-0.7119154473010021;0.8869913079228661;0.0;2020-2021
MG;Thrift;0;2020;7;5;0;-0.7470447966080817;2.6060596428730953;0.002212924027829886;-0.7119154473010021;0.8943344814279228;0.0;2020-2021
MG;Twig;0;2020;7;19;0;-0.7470447966080817;1.4085498188719392;0.017248735923434445;-0.7119154473010021;0.7307843254954607;0.0;2020-2021
MG;TypeScript;784;2020;7;77;1;-0.7470447966080817;-0.13562874288238097;0.16267773013135833;-0.7119154473010021;-0.0;1.7947255892727334;2020-2021
MG;UnrealScript;0;2020;7;8;0;-0.7470447966080817;2.1803927681196615;0.0036313820555625657;-0.7119154473010021;0.9937960683546622;0.0;2020-2021
MG;VBA;0;2020;7;12;0;-0.7470447966080817;2.3484159771730937;0.005415536567430724;-0.7119154473010021;1.241460444921985;0.0;2020-2021
MG;VBScript;0;2020;7;14;0;-0.7470447966080817;2.450468698041529;0.0050756080697346795;-0.7119154473010021;1.336766950534799;0.0;2020-2021
MG;VHDL;0;2020;7;10;0;-0.7470447966080817;2.323464751771109;0.0054962818499806445;-0.7119154473010021;1.0979103955132312;0.0;2020-2021
MG;Verilog;0;2020;7;11;0;-0.7470447966080817;2.3125527440354277;0.00410639118446214;-0.7119154473010021;1.0903861264970522;0.0;2020-2021
MG;Vim Script;0;2020;7;27;0;-0.7470447966080817;2.0929153696139045;0.013511071779225914;-0.7119154473010021;0.9696378727294863;0.0;2020-2021
MG;Vim Snippet;0;2020;7;13;0;-0.7470447966080817;2.4343007657481466;0.004906913685708384;-0.7119154473010021;1.2834087902612927;0.0;2020-2021
MG;Visual Basic .NET;0;2020;7;14;0;-0.7470447966080817;1.7286058406759763;0.008704413829114972;-0.7119154473010021;1.0350287596089025;0.0;2020-2021
MG;Vue;0;2020;7;49;0;-0.7470447966080817;-0.4419221508838273;0.11503699807087023;-0.7119154473010021;-0.25075566470513744;0.0;2020-2021
MG;XS;0;2020;7;12;0;-0.7470447966080817;2.1793333538187745;0.0052525465214313186;-0.7119154473010021;1.1374291313297689;0.0;2020-2021
MG;XSLT;0;2020;7;28;0;-0.7470447966080817;2.0551135972157684;0.014045884003886911;-0.7119154473010021;0.9336492884947856;0.0;2020-2021
MG;Yacc;0;2020;7;25;0;-0.7470447966080817;2.119337170003677;0.010426085310868145;-0.7119154473010021;1.0462409741182606;0.0;2020-2021
MG;sed;0;2020;7;19;0;-0.7470447966080817;2.379968102226039;0.007066397204375113;-0.7119154473010021;1.2206223215672882;0.0;2020-2021
MK;AIDL;0;2020;9;8;0;-0.5827871249873906;1.962936338070976;0.00771156043070121;-0.711660223393101;0.7117448691295977;0.0;2020-2021
MK;AMPL;0;2020;9;7;0;-0.5827871249873906;2.615574288421157;0.003470752025357831;-0.711660223393101;1.2007096907798476;0.0;2020-2021
MK;ANTLR;0;2020;9;14;0;-0.5827871249873906;2.4181103082678184;0.007211988309772588;-0.711660223393101;1.239995471839367;0.0;2020-2021
MK;ASP.NET;103;2020;9;36;1;-0.5827871249873906;0.07615349966503283;0.1292068602864616;-0.711660223393101;-0.0;1.7374271962838457;2020-2021
MK;ActionScript;0;2020;9;8;0;-0.5827871249873906;2.21739425074595;0.005069103766724058;-0.711660223393101;1.083149856939441;0.0;2020-2021
MK;Ada;0;2020;9;9;0;-0.5827871249873906;2.4466036243036107;0.0046714280428088225;-0.711660223393101;1.163931150375438;0.0;2020-2021
MK;Apex;0;2020;9;3;0;-0.5827871249873906;2.326312255454673;0.004226648801642884;-0.711660223393101;0.5889214697037422;0.0;2020-2021
MK;AppleScript;0;2020;9;11;0;-0.5827871249873906;2.561610008775973;0.004780146539370096;-0.711660223393101;1.3729196117139932;0.0;2020-2021
MK;Assembly;0;2020;9;32;0;-0.5827871249873906;1.9306780638588639;0.0245375569896721;-0.711660223393101;0.8989003111333969;0.0;2020-2021
