iso2_code;AIDL;AMPL;ANTLR;ASP.NET;ActionScript;Ada;Apex;AppleScript;Assembly;Astro;AutoHotkey;Awk;Batchfile;Blade;Brainfuck;C;C#;C++;CMake;CSS;Clojure;CoffeeScript;Common Lisp;Cuda;Cython;D;DIGITAL Command Language;DTrace;Dart;Dockerfile;EJS;Elixir;Elm;Emacs Lisp;Erlang;F#;Forth;Fortran;FreeMarker;G-code;GAP;GDB;GDScript;GLSL;Gherkin;Gnuplot;Go;Groovy;HCL;HLSL;HTML;Hack;Haml;Handlebars;Haskell;Inno Setup;Java;JavaScript;Jinja;Julia;Jupyter Notebook;Kotlin;LLVM;Less;Lex;Liquid;Logos;Lua;M;M4;MATLAB;Makefile;Mako;Mathematica;Meson;Mustache;NASL;NSIS;Nim;Nix;Nunjucks;OCaml;Objective-C;Objective-C++;OpenEdge ABL;OpenSCAD;PHP;PLSQL;PLpgSQL;Pascal;Pawn;Perl;PostScript;PowerShell;Processing;Prolog;Pug;Puppet;PureBasic;Python;QML;QMake;R;Raku;Rebol;RobotFramework;Roff;Ruby;Rust;SCSS;SQLPL;SWIG;Sass;Scala;Scheme;Scilab;ShaderLab;Shell;SmPL;Smalltalk;Smarty;Solidity;SourcePawn;Standard ML;Starlark;Stata;Stylus;Svelte;Swift;SystemVerilog;TSQL;Tcl;TeX;Thrift;Twig;TypeScript;UnrealScript;VBA;VBScript;VHDL;Verilog;Vim Script;Vim Snippet;Visual Basic .NET;Vue;XS;XSLT;Yacc;sed
BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6706933925735474;;;;;;;0.6633041500567176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BD;;;;0.5133450146008525;;;;;-0.8566151320551685;;;;-0.4733551636650291;1.583823484526875;;-0.3359234478952389;-0.39242714939088336;-0.08499970256328332;-1.234655202862426;0.44965476824257383;;0.15049562306464326;;;;;;;0.6685131016780302;-0.9438535786540789;;;;;;;;;;;;;;;;;-0.9327854424489879;;;-2.291859616215953;0.3420708090329522;1.3398989609269774;;-0.3828131408383086;;;-0.22864986400917242;0.18543878711960773;;;-0.13344375989139068;0.1593668917204528;;0.4988000051678207;;;;-1.737495070302101;;-2.3308136561684085;-0.6088437240024562;-1.0865785122307838;;;;;;;;;;;0.043811807042270896;;;;0.8995610685386994;;;;;-1.1380959287721513;;-0.2574261288139301;;;-0.42473931126426406;;;-0.357920353189083;;;-1.4685749722589125;;;;-0.9214226542224467;-0.5137618458708746;-2.4660340635305493;0.04839341104081533;;;-0.5626530690565714;;;;-2.2728931568266635;-0.21308749794856544;;;-0.8185703344895083;-1.5800609090566364;;;-0.4240991860782726;;;;0.22756304317026904;;-0.9923946589233842;;-0.9100059412849831;;;-0.6613577197976148;;;;;;-1.1600280553946727;;;0.3510896499597204;;-1.535123056474182;;
BE;;;;-0.7741587728232664;;;;;0.14169524308610684;;;0.23507793325993337;0.22293707084956774;0.2379227555680517;;0.10049040437220048;0.23177556098905192;;0.1353158351698453;-0.10470444774403465;;;-0.30199016445100735;;-0.247150100420374;;;;-0.47590731195919306;0.21471513463005615;-0.16469932453857267;-0.39496452224543893;;0.15658250496765452;;;;0.5760689072530326;;;;;;0.2897230027362375;0.3666872011614786;;-0.19811487304989478;0.28478187382181286;0.09501310523384723;0.1866393274031505;-0.13252390853448703;0.20459531072178325;;;0.49715613583607027;;-0.25653544867158845;-0.09009068209191486;0.46217838401178757;1.0130510871834382;-0.24385745714370774;-0.34407402097952716;;;-1.0198235990224294;;;0.3362228027152576;;0.24956680365732867;0.2525260179335732;0.28850299870857393;;;;0.3557923036118067;;0.1969085735114067;;0.6389053860398721;;;-0.24510440209763062;-0.23104868525163688;;;0.26496632540058435;-0.5616214352787051;0.39110856369679725;0.6391535347041729;;0.3645564951187192;;0.27755593524873523;;;;;;0.013776018964724645;;0.20589319749398377;0.38937056582640284;;;;0.2858952878023747;-0.043595571204166746;0.29721659159172437;0.1539619769151896;;;0.5510179601045296;0.2269086907044281;0.36341302183564955;;0.14434250601867898;0.16263986773639144;;-0.7007826370311138;0.37359587831610575;-1.127091350898056;;;-0.8371042106013602;;;-0.26281826594779406;-0.48432912580594945;;0.470057208270087;0.2670496105797411;0.647886949070889;;1.4738094485338429;0.09663260428638158;;;;;;0.3396824369698873;;;-0.03928355897578522;;0.6914463459678138;-0.1912153707944811;0.13588267462932008
BF;;;;;;;;;;;;;;3.213249238238582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1602229392817152;;;;;;;0.3900403349734576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.725933630227402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7401631091568752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BG;;;;0.7308852868941925;;;;;-0.26474896690411215;;;;0.33668637681192193;;;0.03991451142355576;1.0818479464706292;0.2868244482727301;-0.0702748091142347;0.12387426302800217;;;;;;;;;;;-0.26892420458827626;;;;;;;;;;;;;;-0.6592302488435872;;0.08276076152396887;;-0.47799662919321395;;0.053264623818743605;-0.12138910362597607;;0.9809816890897096;;;0.18803043809320227;0.15741272264019238;;;-1.1223669908182299;-0.4815741658552589;;;;;;0.1689161418026785;;;;-0.09222154782643317;;;;0.5510021070995803;;;;;;;-0.2011123235321611;;;;0.10686522967288474;;;;;;;0.3336302603193973;;;;;;-0.3352902923441436;;;;;;;;-0.17130946372474395;0.13774488301363683;0.1673828261819666;;;;;;;-1.1318176350760145;-0.06452776061394722;;;;-0.27151941986311723;;;;;;;-0.3757457585057384;;1.5136200178915051;;;;;0.2711111062313845;;;;;;0.13460223288366618;;;-0.1346710790802856;;0.1694345326779328;;
BH;;;;;;;;;;;;;;;;;;;;0.6825691002158868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8412585015779028;;;;;;;0.6038767287365567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5547696417269044;;;;;;;;;;;;;;;;;;0.5282800636176327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJ;;;;;;;;;;;;;;;;;;;;0.6349880035879597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7221868204031135;;;;;;-0.48396686882389983;0.48191905568242743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3137485918712946;;;;;;;;;;;;;-0.5833571858571347;;;;;;;;;;0.29827931563519805;;;;;;;;0.5857353466750075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BN;;;;;;;;;;;;;;;;;;;;0.7284530876738996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3910507250455424;;;;;;;0.48592910944411644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;;;;;;;;;;;;;;1.9789357832225867;;-1.1548363251646163;0.5480174306021023;-0.4922516170439088;;0.20547469029138582;;;;;;;;;1.1621814702932671;-0.4757767844136672;;;;;;;;;;;;;;;;;;;;;0.2292426098481181;1.2119401843578135;;;;;0.25879366871083503;0.20740513856348058;;;-0.9238434376170727;0.7029869045584058;;-0.9191336657683701;;;;;;;;-2.311816600625602;;;;;;;;;;;0.587932186649344;;;;0.9976944349470493;;;;;;;;;;;;;-0.5592956093490064;;;;;;;;-0.19844772926921084;;0.24367234853010447;;;;;;;;0.08760724948271491;;;;;;;;;;;0.7194230085512495;;;;;;;0.4452308838873526;;;;;;;;;0.6627342106986925;;;;
BR;-0.387525210772487;-0.2542077066094206;-0.2737439141568149;-0.03919777760778807;-0.1578085611590473;-1.6692609232747349;;-1.7092878186478486;-0.5709830371443421;;-0.8958177163786953;-0.9296327510392426;-0.4556413670648304;0.4071391051858118;-0.6252308204890481;-0.23719424083015866;0.23412396483281503;-0.46891597757348186;-0.7359853411396621;0.1340601747692626;-0.16192278455944736;-0.28906010063123005;-0.48995352040093226;-1.2499306936593018;-0.5600068260641796;-0.45703649739435753;-2.17178025464652;-1.8545234146784226;0.6027962261116019;-0.13598574319752663;0.24618885619550018;1.13461263463116;;-0.7605408654369736;-0.24414753132608577;-0.3743655050018329;-0.12170679415203232;-0.3952913225258362;-0.3703786490895856;-1.2934050243087145;0.05176516918740946;-0.8061266546079338;0.9112035588352809;-0.6838660881363392;0.31808190448539453;-0.4595833734152175;-0.49427848033780386;-0.7784134178023638;-0.28470017899712174;-0.21614547396499423;0.09978722265815652;0.3068594818588402;-0.11032212533969515;0.4565695993602859;;-0.37610232408499267;0.2580642270781183;0.16201465437920762;-0.8019110518997415;-0.30189941054372954;-0.25848808461870304;0.3500785373934053;;-0.4614083995025283;-0.5965969203868633;;;-0.48230099403413895;-0.6354102990851204;-1.018840289889331;-0.704287511617235;-0.5171366299055812;-0.03961009275022023;-0.27506082225522754;-0.5513639890661546;-0.7207658750263028;-1.0011804356745624;-0.811914688228797;-0.8037258435368121;-0.8735111801923033;0.36517798907910504;-1.133441067541095;0.36399875849049335;-0.7685871647849642;-1.0123525521365846;;0.11432060659192994;;-0.19329819182199806;0.38705084741058654;-0.4390023294514754;-0.8604501826999054;-0.3321715865084812;-0.38315326838813324;-0.0717197870675265;0.10207308093015757;-0.550300218867519;;0.25580557191072467;-0.29947036838925745;-0.21668678251254703;-0.6340592562243436;-0.35853144185738817;-0.6943982615146567;-1.121686641902856;1.3292541538753682;-0.667689355709608;-0.1336815479070352;-0.7238899713735628;0.02002931192539552;;-0.7672409160159992;0.11345181844629239;-0.9554407384855119;-0.3615976099494441;;-0.17709819685131767;-0.187890975895367;-0.4291276809918932;-0.5481147778413145;-0.5552438798141471;-0.7266043998634685;-1.8357943659216034;0.3053924615657285;0.8401912394640729;0.7754857613569408;-0.49544641448913374;-0.3766155389513696;0.31247004663085753;;0.29499461308952546;-0.593628824311119;-0.5127300016737772;;-0.8616580758176461;0.6409850950026864;-0.4074248349870094;0.5637918640792527;-0.1565436307018426;0.65399849572444;-0.4514326748641335;-0.3729506371286681;-0.2451452029505059;-0.10671318104030393;-0.10756173327071797;-0.5553829161285133;-0.6858450326484175;-0.6581648477858398;-0.7557888183351464
BT;;;;;;;;;;;;;;;;;;;;0.5100062481925625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.489884931663012;;;;;;;0.399748929288079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;;;;;;;;;;;;;;;;;;;;0.9232517807244777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.3493345901674352;;;;;;;0.3557894032256006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
