iso2_code;language;entry01;consider00;pci;rca01;rel_density
BD;Smarty;0;1;2.1071504574072;0.0;0.0
BD;Solidity;0;1;1.0639740202511812;0.0;0.0
BD;Starlark;0;1;0.711259233895177;0.0;0.0
BD;Svelte;0;1;2.118116949898174;0.0;0.0
BD;TSQL;0;1;0.0590910475450887;0.0;1.0
BD;TeX;0;1;1.9167178235943527;0.0;0.0
BD;TypeScript;0;1;-0.13588730026915347;0.0;0.5
BD;Vim Script;0;1;2.093133788461143;0.0;0.0
BD;XSLT;0;1;2.0553182902796423;0.0;0.0
BD;Yacc;0;1;2.119012304204972;0.0;0.0
BE;C++;0;1;1.3675251369112322;0.0;1.0
BE;CSS;0;1;-1.2036787142617495;0.0;0.3333333333333333
BE;Common Lisp;1;0;2.551649668496865;0.0;0.3333333333333333
BE;Dart;0;1;-0.7976656432256355;0.0;0.0
BE;EJS;0;1;0.31669110409502776;0.0;1.0
BE;Go;0;1;1.4738099718038895;0.0;1.0
BE;HTML;0;1;-1.232076495332091;0.0;0.0
BE;Java;0;1;-0.38912306692908444;0.0;1.0
BE;JavaScript;0;1;-1.0904736344677202;0.0;0.0
BE;Jupyter Notebook;0;1;0.8471960848148664;0.0;1.0
BE;Kotlin;0;1;-0.42841136847310457;0.0;0.5
BE;Less;0;1;-0.2804520567789595;0.0;0.0
BE;Lex;0;1;2.1625991970039027;0.0;1.0
BE;Objective-C;0;1;-0.12118100788074036;0.0;0.0
BE;Objective-C++;0;1;2.164512377073529;0.0;1.0
BE;ShaderLab;0;1;1.4921215937922294;0.0;1.0
BE;Smalltalk;0;1;2.0691111409745773;0.0;0.0
BE;Solidity;0;1;1.0639740202511812;0.0;0.5
BE;Starlark;0;1;0.711259233895177;0.0;0.0
BE;Swift;0;1;-0.5406199683576715;0.0;0.25
BF;Python;1;0;0.1363314420870251;0.0;1.0
BG;Assembly;0;1;1.9304043185725768;0.0;0.125
BG;Blade;0;1;-0.607868339976934;0.0;0.25
BG;C;0;1;1.4730524150422355;0.0;0.5
BG;CMake;0;1;1.9028597668539395;0.0;0.2222222222222222
BG;Dart;0;1;-0.7976656432256355;0.0;0.5
BG;EJS;0;1;0.31669110409502776;0.0;0.0
BG;GLSL;0;1;2.1554527348539922;0.0;0.42857142857142855
BG;HLSL;0;1;1.63564413921696;0.0;0.0
BG;Hack;0;1;-0.43790827196804394;0.0;0.5
BG;Jupyter Notebook;0;1;0.8471960848148664;0.0;0.0
BG;Kotlin;0;1;-0.42841136847310457;0.0;0.0
BG;Makefile;0;1;1.5834986395889006;0.0;0.6
BG;Objective-C;0;1;-0.12118100788074036;0.0;0.0
BG;Perl;0;1;2.0311896384559676;0.0;0.38461538461538464
BG;Python;0;1;0.1363314420870251;0.0;0.0
BG;Roff;0;1;2.0836874965079293;0.0;0.46153846153846156
BG;Ruby;0;1;-0.5314756702149153;0.0;0.0
BG;ShaderLab;0;1;1.4921215937922294;0.0;0.0
BG;Shell;0;1;-0.1879113331490984;0.0;0.5
BG;Swift;0;1;-0.5406199683576715;0.0;0.0
BG;Vue;0;1;-0.44188233198423804;0.0;0.0
BJ;Python;1;0;0.1363314420870251;0.0;1.0
BJ;TypeScript;1;0;-0.13588730026915347;0.0;0.5
BO;Batchfile;0;1;1.6004806766069892;0.0;0.0
BO;C;0;1;1.4730524150422355;0.0;0.0
BO;C++;0;1;1.3675251369112322;0.0;0.0
BO;CMake;1;0;1.9028597668539395;0.0;0.0
BO;Dockerfile;0;1;1.1991486271179024;0.0;0.5
BO;Jupyter Notebook;0;1;0.8471960848148664;0.0;0.0
BO;Makefile;0;1;1.5834986395889006;0.0;0.0
BO;Python;0;1;0.1363314420870251;0.0;0.0
BO;Ruby;0;1;-0.5314756702149153;0.0;1.0
BO;Shell;0;1;-0.1879113331490984;0.0;0.5
BR;AIDL;0;1;1.9647874309720463;0.0;0.0
BR;AMPL;0;1;2.611604059629887;0.0;0.0
BR;ANTLR;0;1;2.4174852341815463;0.0;1.0
BR;ASP.NET;0;1;0.07721316315731944;0.0;0.0
BR;AppleScript;0;1;2.558977190232079;0.0;0.0
BR;Assembly;0;1;1.9304043185725768;0.0;0.0
BR;AutoHotkey;0;1;2.586413841656679;0.0;0.0
BR;Awk;0;1;2.1886911010482666;0.0;0.0
BR;Batchfile;0;1;1.6004806766069892;0.0;0.0
BR;C;0;1;1.4730524150422355;0.0;0.0
BR;C++;0;1;1.3675251369112322;0.0;0.0
BR;CMake;0;1;1.9028597668539395;0.0;0.0
BR;Clojure;0;1;2.294773071468013;0.0;0.0
BR;CoffeeScript;0;1;0.8129349221987213;0.0;0.0
BR;Common Lisp;0;1;2.551649668496865;0.0;0.0
BR;Cuda;0;1;2.238044741357388;0.0;0.0
BR;Cython;0;1;2.279639442811098;0.0;0.0
BR;D;0;1;2.4896532819665125;0.0;0.0
BR;DIGITAL Command Language;0;1;2.5308549720807014;0.0;0.14285714285714285
BR;DTrace;0;1;2.574606059376533;0.0;0.125
BR;Dockerfile;0;1;1.1991486271179024;0.0;0.5
BR;Emacs Lisp;0;1;2.2318200798117114;0.0;0.0
BR;Erlang;0;1;2.4696583699352646;0.0;0.0
BR;F#;0;1;2.4352681235763884;0.0;0.0
BR;Forth;1;0;2.2969568371060602;0.0;0.0
BR;Fortran;0;1;2.414375048304809;0.0;0.3333333333333333
BR;FreeMarker;0;1;2.233992646159283;0.0;0.0
BR;GDB;0;1;2.3994460085833937;0.0;0.16666666666666666
BR;GLSL;0;1;2.1554527348539922;0.0;0.0
BR;Gherkin;0;1;1.7095135076278267;0.0;0.5
BR;Gnuplot;0;1;2.547454318424486;0.0;0.0
BR;Go;0;1;1.4738099718038895;0.0;0.0
BR;Groovy;0;1;2.0265268605091227;0.0;0.0
BR;HCL;0;1;2.1137366512604454;0.0;0.0
BR;HLSL;0;1;1.63564413921696;0.0;0.0
BR;Haskell;0;1;2.1809856862932695;0.0;0.0
BR;Inno Setup;0;1;2.545436957346266;0.0;0.0
BR;Jinja;0;1;2.196084533029547;0.0;0.14285714285714285
BR;Julia;0;1;2.44556255753298;0.0;0.0
BR;Jupyter Notebook;0;1;0.8471960848148664;0.0;0.0
BR;LLVM;0;1;2.6041230586508184;0.0;0.0
BR;Less;0;1;-0.2804520567789595;0.0;0.5
BR;Lex;0;1;2.1625991970039027;0.0;0.0
BR;Liquid;0;1;2.412736976218014;0.0;0.0
BR;Lua;0;1;1.955032927393994;0.0;0.0
BR;M;0;1;2.477021637341133;0.0;0.0
BR;M4;0;1;2.13591197847386;0.0;0.0
BR;MATLAB;0;1;1.8559178394731168;0.0;0.0
BR;Makefile;0;1;1.5834986395889006;0.0;0.0
BR;Mako;0;1;1.446458610024901;0.0;1.0
BR;Mathematica;0;1;2.5063432538729487;0.0;0.0
BR;Meson;0;1;2.4846647918104923;0.0;0.0
BR;Mustache;0;1;2.0461741451331616;0.0;0.0
BR;NASL;0;1;2.4793272023911515;0.0;0.0
BR;NSIS;0;1;2.4430005417396354;0.0;0.0
BR;Nim;0;1;2.1203343678592415;0.0;0.5
BR;Nix;0;1;2.374165438622495;0.0;0.0
BR;Nunjucks;0;1;2.327867909641276;0.0;0.5
BR;OCaml;0;1;2.4715382454683827;0.0;0.16666666666666666
BR;PLSQL;1;0;2.172316605785553;0.0;0.0
BR;PLpgSQL;0;1;2.0841674928508978;0.0;0.0
BR;Pawn;0;1;2.5436333735931758;0.0;0.0
BR;Perl;0;1;2.0311896384559676;0.0;0.0
BR;PostScript;0;1;2.5723216682711887;0.0;0.0
BR;PowerShell;0;1;1.164759552252281;0.0;0.0
BR;Processing;0;1;2.087294043609872;0.0;0.5
BR;Prolog;0;1;2.287641902908383;0.0;0.0
BR;Pug;0;1;0.6522318478058452;0.0;0.3333333333333333
